Model,Bio_term,Title,Link,Citations,Year
gradient boosted trees,biogeography,Detection of the chronic kidney disease using XGBoost classifier and explaining the influence of the attributes on the model using SHAP,https://www.nature.com/articles/s41598-023-33525-0,12,2023
gradient boosted trees,biogeography,A New Approach to Evaluate the Risk of Bark Beetle Outbreaks Using Machine Learning Methods,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4043457,NA,NA
gradient boosted trees,biogeography,Ensemble machine learning models for prediction of flyrock due to quarry blasting,https://link.springer.com/article/10.1007/s13762-022-04096-w,24,2022
gradient boosted trees,biogeography,Artificial light at night is a top predictor of bird migration stopover density,https://www.nature.com/articles/s41467-023-43046-z,3,2023
gradient boosted trees,biogeography,Tree-Based Techniques for Predicting the Compression Index of Clayey Soils,https://www.jsoftcivil.com/article_168178.html,2,2023
gradient boosted trees,biogeography,Predicting bycatch of Chinook salmon in the Pacific hake fishery using spatiotemporal models,https://academic.oup.com/icesjms/article-abstract/80/1/133/6891089,8,2023
gradient boosted trees,biogeography,Boosting Hot Mix Asphalt Dynamic Modulus Prediction Using Statistical and Machine Learning Regression Modeling Techniques,https://www.mdpi.com/2071-1050/15/19/14464,1,2023
gradient boosted trees,biogeography,Towards a computational ecology of plankton,https://hal.science/tel-04018620/,NA,2020
gradient boosted trees,biogeography,Vulnerability in the Anthropocene: a prospective analysis of the need for social protection,https://www.aciar.gov.au/sites/default/files/2023-05/LS-2020-206-final-report.pdf,NA,2023
support vector machine,biogeography,"… selection for SAR image classification using biogeography-based optimization (BBO), artificial bee colony (ABC) and support vector machine (SVM): a combined …",https://link.springer.com/article/10.1007/s10596-020-10030-1,50,2021
support vector machine,biogeography,Binary biogeography-based optimization based SVM-RFE for feature selection,https://www.sciencedirect.com/science/article/pii/S1568494620309650,105,2021
support vector machine,biogeography,Multiobjective binary biogeography based optimization for feature selection using gene expression data,https://ieeexplore.ieee.org/abstract/document/6698341/,138,2013
support vector machine,biogeography,Support vector machines to map rare and endangered native plants in Pacific islands forests,https://www.sciencedirect.com/science/article/pii/S1574954112000210,98,2012
support vector machine,biogeography,Biogeography-based optimization and support vector regression for freeway travel time prediction and feature selection,https://arxiv.org/abs/2007.15212,2,2020
support vector machine,biogeography,Taxonomy of Diabetic Retinopathy Patients Using Biogeography-Based Optimization on Support Vector Machine Based on Digital Retinal Images,https://link.springer.com/chapter/10.1007/978-981-15-8677-4_51,NA,2021
support vector machine,biogeography,Predictive pollen-based biome modeling using machine learning,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0202214,20,2018
support vector machine,biogeography,Improving area of occupancy estimates for parapatric species using distribution models and support vector machines,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.2228,21,2021
support vector machine,biogeography,Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems,https://link.springer.com/article/10.1186/s40663-021-00297-w,18,2021
support vector machine,biogeography,Fruit classification by biogeography‐based optimization and feedforward neural network,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12146,154,2016
support vector machine,biogeography,Discrete biogeography based optimization for feature selection in molecular signatures,https://onlinelibrary.wiley.com/doi/abs/10.1002/minf.201400065,20,2015
support vector machine,biogeography,Feature selection based classification of sentiment analysis using biogeography optimization algorithm,https://ieeexplore.ieee.org/abstract/document/7916549/,12,2017
support vector machine,biogeography,"Use of support vector machines (SVMs) to predict distribution of an invasive water fern Azolla filiculoides (Lam.) in Anzali wetland, southern Caspian Sea, Iran",https://www.sciencedirect.com/science/article/pii/S0304380012003195,61,2012
support vector machine,biogeography,Voltage stability assessment using multi-objective biogeography-based subset selection,https://www.sciencedirect.com/science/article/pii/S0142061517319075,47,2018
support vector machine,biogeography,Enhanced bag of features using alexnet and improved biogeography-based optimization for histopathological image analysis,https://ieeexplore.ieee.org/abstract/document/8530540/,33,2018
support vector machine,biogeography,Automated classification of brain images using DWT and biogeography-based optimisation,https://ieeexplore.ieee.org/abstract/document/8553875/,5,2018
support vector machine,biogeography,BIOGEOGRAPHY BASED OPTIMIZATION FOR COMPLEX SYSTEM,NA,NA,2016
support vector machine,biogeography,Research and application of an air quality early warning system based on a modified least squares support vector machine and a cloud model,https://www.mdpi.com/1660-4601/14/3/249,42,2017
support vector machine,biogeography,Motor imagery electroencephalograph classification based on optimized support vector machine by magnetic bacteria optimization algorithm,https://link.springer.com/article/10.1007/s11063-015-9469-7,21,2016
support vector machine,biogeography,Automated classification of brain images using wavelet-energy and biogeography-based optimization,https://link.springer.com/article/10.1007/s11042-015-2649-7,205,2016
random forest,biogeography,Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems,https://link.springer.com/article/10.1186/s40663-021-00297-w,18,2021
random forest,biogeography,Why choose Random Forest to predict rare species distribution with few samples in large undersampled areas? Three Asian crane species models provide …,https://peerj.com/articles/2849/,249,2017
random forest,biogeography,The global biogeography of tree leaf form and habit,https://www.nature.com/articles/s41477-023-01543-5,2,2023
random forest,biogeography,Biogeography-based informative gene selection and cancer classification using SVM and random forests,https://ieeexplore.ieee.org/abstract/document/6256127/,37,2012
random forest,biogeography,Biogeographical analyses to facilitate targeted conservation of orchid diversity hotspots in Costa Rica,https://onlinelibrary.wiley.com/doi/abs/10.1111/ddi.13062,24,2020
random forest,biogeography,"Alien flora of Nigeria: taxonomy, biogeography, habitats, and ecological impacts",https://link.springer.com/article/10.1007/s10530-023-03140-1,5,2023
random forest,biogeography,Biogeographic structure of the northeastern Pacific rocky intertidal: the role of upwelling and dispersal to drive patterns,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecog.00880,82,2015
random forest,biogeography,Drivers and human impacts on topsoil bacterial and fungal community biogeography across Australia,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.17216,NA,2024
random forest,biogeography,Climatic controls of decomposition drive the global biogeography of forest-tree symbioses,https://www.nature.com/articles/s41586-019-1128-0,491,2019
random forest,biogeography,Random Forest characterization of upland vegetation and management burning from aerial imagery,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2009.02186.x,65,2010
random forest,biogeography,On the rocks: Biogeography and floristic identity of rocky ecosystems in eastern South America,https://onlinelibrary.wiley.com/doi/abs/10.1111/jse.13052,1,2024
random forest,biogeography,Bacterial biogeography in China and its association to land use and soil organic carbon,https://link.springer.com/article/10.1007/s42832-023-0172-8,11,2023
random forest,biogeography,Global diversity and biogeography of potential phytopathogenic fungi in a changing world,https://www.nature.com/articles/s41467-023-42142-4,1,2023
random forest,biogeography,Biogeography at the limits of life: Do extremophilic microbial communities show biogeographical regionalization?,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12670,31,2017
random forest,biogeography,Hybrid biogeography based simultaneous feature selection and prediction of N-Myristoylation substrate proteins using support vector machines and random forest …,https://link.springer.com/chapter/10.1007/978-3-642-35380-2_43,1,2012
random forest,biogeography,Physiology and biogeography: the response of European mussels (Mytilus spp.) to climate change,https://bioone.org/journals/American-Malacological-Bulletin/volume-33/issue-1/006.033.0111/Physiology-and-Biogeography--The-Response-of-European-Mussels-iMytilus/10.4003/006.033.0111.short,40,2015
random forest,biogeography,Comparison between optimized MaxEnt and random forest modeling in predicting potential distribution: A case study with Quasipaa boulengeri in China,https://www.sciencedirect.com/science/article/pii/S004896972203964X,41,2022
random forest,biogeography,Global biogeography and projection of soil antibiotic resistance genes,https://www.science.org/doi/abs/10.1126/sciadv.abq8015,44,2022
random forest,biogeography,Comammox biogeography subject to anthropogenic interferences along a high-altitude river,https://www.sciencedirect.com/science/article/pii/S0043135422011708,5,2022
random forest,biogeography,Island biogeography theory predicts plant species richness of remnant grassland patches in the agro-pastoral ecotone of northern China,https://www.sciencedirect.com/science/article/pii/S1439179121000839,12,2021
random forest,bioinformatics,Random forest for bioinformatics,https://link.springer.com/chapter/10.1007/978-1-4419-9326-7_11,857,2012
random forest,bioinformatics,Overview of random forest methodology and practical guidance with emphasis on computational biology and bioinformatics,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1072,928,2012
random forest,bioinformatics,The effect of data sampling when using random forest on imbalanced bioinformatics data,https://ieeexplore.ieee.org/abstract/document/7301012/,54,2015
random forest,bioinformatics,Random forest with 200 selected features: An optimal model for bioinformatics research,https://ieeexplore.ieee.org/abstract/document/6784604/,17,2013
random forest,bioinformatics,Is data sampling required when using random forest for classification on imbalanced bioinformatics data?,https://link.springer.com/chapter/10.1007/978-3-319-31311-5_7,10,2016
random forest,bioinformatics,The use of classification trees for bioinformatics,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.14,134,2011
random forest,bioinformatics,Data mining in the Life Sciences with Random Forest: a walk in the park or lost in the jungle?,https://academic.oup.com/bib/article-abstract/14/3/315/255469,453,2013
random forest,bioinformatics,Prediction of protein–RNA binding sites by a random forest method with combined features,https://academic.oup.com/bioinformatics/article-abstract/26/13/1616/201634,175,2010
random forest,bioinformatics,Robustness of Random Forest-based gene selection methods,https://link.springer.com/article/10.1186/1471-2105-15-8,278,2014
random forest,bioinformatics,An Integrated Data Analysis Using Bioinformatics and Random Forest to Predict Prognosis of Patients with Squamous Cell Carcinoma,https://ieeexplore.ieee.org/abstract/document/10506496/,NA,2024
random forest,bioinformatics,Gene selection and classification of microarray data using random forest,https://link.springer.com/article/10.1186/1471-2105-7-3,3498,2006
random forest,bioinformatics,"MetalExplorer, a bioinformatics tool for the improved prediction of eight types of metal-binding sites using a random forest algorithm with two-step feature selection",https://www.ingentaconnect.com/content/ben/cbio/2017/00000012/00000006/art00003,20,2017
random forest,bioinformatics,A new approach for interpreting random forest models and its application to the biology of ageing,https://academic.oup.com/bioinformatics/article-abstract/34/14/2449/4866010,63,2018
random forest,bioinformatics,Structure-based prediction of protein–peptide binding regions using Random Forest,https://academic.oup.com/bioinformatics/article-abstract/34/3/477/4237510,69,2018
random forest,bioinformatics,"Random forest Gini importance favours SNPs with large minor allele frequency: impact, sources and recommendations",https://academic.oup.com/bib/article-abstract/13/3/292/245896,148,2012
random forest,bioinformatics,t-Tree and t-Forest: Decision Tree and Random Forest Algorithms Including the Relevance Factor with Applications in Bioinformatics,https://ieeexplore.ieee.org/abstract/document/8983065/,2,2019
random forest,bioinformatics,"Random forest of perfect trees: concept, performance, applications and perspectives",https://academic.oup.com/bioinformatics/article-abstract/37/15/2165/6125385,27,2021
random forest,bioinformatics,Alterations to the bootstrapping process within random forest: A case study on imbalanced bioinformatics data,https://ieeexplore.ieee.org/abstract/document/7300997/,8,2015
random forest,bioinformatics,Improving protein fold recognition by random forest,https://link.springer.com/article/10.1186/1471-2105-15-S11-S14,65,2014
random forest,bioinformatics,"Bias in random forest variable importance measures: Illustrations, sources and a solution",https://link.springer.com/article/10.1186/1471-2105-8-25,3738,2007
gradient boosted trees,bioinformatics,Inferring gene regulatory networks of metabolic enzymes using gradient boosted trees,https://ieeexplore.ieee.org/abstract/document/8781833/,7,2019
gradient boosted trees,bioinformatics,Boost-R: Gradient boosted trees for recurrence data,https://www.tandfonline.com/doi/abs/10.1080/00224065.2021.1948373,2,2021
gradient boosted trees,bioinformatics,A data driven model for predicting RNA-protein interactions based on gradient boosting machine,https://www.nature.com/articles/s41598-018-27814-2,19,2018
gradient boosted trees,bioinformatics,Phosphorylation site prediction using gradient tree boosting,https://scik.org/index.php/cmbn/article/view/4653,9,2020
gradient boosted trees,bioinformatics,Data-driven advice for interpreting local and global model predictions in bioinformatics problems,https://arxiv.org/abs/2108.06201,1,2021
gradient boosted trees,bioinformatics,Accurate prediction of functional effects for variants by combining gradient tree boosting with optimal neighborhood properties,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0179314,46,2017
gradient boosted trees,bioinformatics,Gradient Boosted Trees on Transcriptomics: Diagnosis of Acute Myeloid Leukaemia,https://pergamos.lib.uoa.gr/uoa/dl/object/2963114/file.pdf,NA,NA
gradient boosted trees,bioinformatics,Deep neural network and extreme gradient boosting based Hybrid classifier for improved prediction of Protein-Protein interaction,https://ieeexplore.ieee.org/abstract/document/9361297/,31,2021
gradient boosted trees,bioinformatics,Diabetics Patients Analysis Using Deep Learning and Gradient Boosted Trees,https://ieeexplore.ieee.org/abstract/document/9441088/,4,2021
gradient boosted trees,bioinformatics,Gradient Boosting over Linguistic-Pattern-Structured Trees for Learning Protein–Protein Interaction in the Biomedical Literature,https://www.mdpi.com/2076-3417/12/20/10199,NA,2022
gradient boosted trees,bioinformatics,Building diverse and optimized ensembles of gradient boosted trees for high-dimensional data,https://ieeexplore.ieee.org/abstract/document/7175758/,3,2014
gradient boosted trees,bioinformatics,A CBR framework with gradient boosting based feature selection for lung cancer subtype classification,https://www.sciencedirect.com/science/article/pii/S0010482517301324,60,2017
gradient boosted trees,bioinformatics,Polygenic risk prediction using gradient boosted trees captures non-linear genetic effects and allele interactions in complex phenotypes,https://www.medrxiv.org/content/10.1101/2021.07.09.21260288.abstract,1,2021
gradient boosted trees,bioinformatics,Identification of Predictors of Mood Disorder Misdiagnosis and Subsequent Help-Seeking Behavior in Individuals With Depressive Symptoms: Gradient …,https://mental.jmir.org/2024/1/e50738,1,2024
gradient boosted trees,bioinformatics,iBLP: an XGBoost-based predictor for identifying bioluminescent proteins,https://www.hindawi.com/journals/cmmm/2021/6664362/,75,2021
gradient boosted trees,bioinformatics,Genomic basis of seed colour in quinoa inferred from variant patterns using extreme gradient boosting,https://onlinelibrary.wiley.com/doi/abs/10.1111/pbi.14267,NA,2024
gradient boosted trees,bioinformatics,A Supervised Co-complex Probability Weighting of Yeast Composite Protein Networks using Gradient-boosted Trees for Protein Complex Detection,https://www.atlantis-press.com/proceedings/wctp-23/125998954,NA,2024
gradient boosted trees,bioinformatics,Investigating random undersampling and feature selection on bioinformatics big data,https://ieeexplore.ieee.org/abstract/document/8848245/,44,2019
gradient boosted trees,bioinformatics,Tree based models for classification of membrane and secreted proteins in heart,https://link.springer.com/article/10.1007/s42485-024-00131-1,NA,2024
gradient boosted trees,bioinformatics,Random Forest and Gradient Boosted Trees for Patient Individualized Contrast Agent Dose Reduction in CT Angiography,https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI230316,NA,2023
support vector machine,bioinformatics,Support vector machine applications in bioinformatics.,https://europepmc.org/article/med/15130823,411,2003
support vector machine,bioinformatics,Support vector machine classification on the web,https://academic.oup.com/bioinformatics/article-abstract/20/4/586/192656,165,2004
support vector machine,bioinformatics,"Study comparison backpropogation, support vector machine, and extreme learning machine for bioinformatics data",https://core.ac.uk/download/pdf/296599017.pdf,16,2015
support vector machine,bioinformatics,Support vector machines in bioinformatics,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b873c7a9b7408f3f88b78ab5f511cf166b4eec17,31,2001
support vector machine,bioinformatics,Support vector machines: A robust prediction method with applications in bioinformatics,https://www.sciencedirect.com/science/article/pii/S0169716119300616,12,2020
support vector machine,bioinformatics,Biological applications of support vector machines,https://academic.oup.com/bib/article-abstract/5/4/328/265877,246,2004
support vector machine,bioinformatics,Support vector machine approach for protein subcellular localization prediction,https://academic.oup.com/bioinformatics/article-abstract/17/8/721/234864,1141,2001
support vector machine,bioinformatics,Support vector machine learning from heterogeneous data: an empirical analysis using protein sequence and structure,https://academic.oup.com/bioinformatics/article-abstract/22/22/2753/197460,148,2006
