"Model","Bio_term","Title","Link","Citations","Year"
"OLS","genomics","Evaluation of three statistical prediction models for forensic age prediction based on DNA methylation","https://www.sciencedirect.com/science/article/pii/S1872497318300863",53,2018
"OLS","genomics","The Bias of Using Cross-Validation in Genomic Predictions and Its Correction","https://www.biorxiv.org/content/10.1101/2023.10.03.560782.abstract","",2023
"OLS","genomics","The Ontology Lookup Service: more data and better tools for controlled vocabulary queries","https://academic.oup.com/nar/article-abstract/36/suppl_2/W372/2506171",106,2008
"ordinary least squares","bioinformatics","Partial least squares (PLS) applied to medical bioinformatics","https://www.sciencedirect.com/science/article/pii/S1877050911005163",31,2011
"ordinary least squares","bioinformatics","A framework for identifying essential proteins with hybridizing deep neural network and ordinary least squares","https://www.mdpi.com/2076-3417/13/15/8613","",2023
"ordinary least squares","bioinformatics","Reconstruction of genetic association networks from microarray data: a partial least squares approach","https://academic.oup.com/bioinformatics/article-abstract/24/4/561/207939",77,2008
"ordinary least squares","bioinformatics","Linking gene expression data with patient survival times using partial least squares","https://www.academia.edu/download/30706937/S120.full.pdf",149,2002
"ordinary least squares","bioinformatics","A partial least squares based procedure for upstream sequence classification in prokaryotes","https://ieeexplore.ieee.org/abstract/document/6951340/",10,2014
"ordinary least squares","bioinformatics","Modeling the relationship between LVAD support time and gene expression changes in the human heart by penalized partial least squares","https://academic.oup.com/bioinformatics/article-abstract/20/6/888/233356",64,2004
"ordinary least squares","bioinformatics","Classification using generalized partial least squares","https://www.tandfonline.com/doi/abs/10.1198/106186005X47697",133,2005
"ordinary least squares","bioinformatics","Fast and accurate gene regulatory network inference by normalized least squares regression","https://academic.oup.com/bioinformatics/article-abstract/38/8/2263/6530276",14,2022
"ordinary least squares","bioinformatics","Predicting patient survival from microarray data by accelerated failure time modeling using partial least squares and LASSO","https://academic.oup.com/biometrics/article-abstract/63/1/259/7321707",118,2007
"ordinary least squares","bioinformatics","Detection of DNA copy number alterations using penalized least squares regression","https://academic.oup.com/bioinformatics/article-abstract/21/20/3811/203554",99,2005
"ordinary least squares","bioinformatics","Hierarchical Cluster-based Partial Least Squares Regression (HC-PLSR) is an efficient tool for metamodelling of nonlinear dynamic models","https://link.springer.com/article/10.1186/1752-0509-5-90",62,2011
"ordinary least squares","bioinformatics","Evaluation of three statistical prediction models for forensic age prediction based on DNA methylation","https://www.sciencedirect.com/science/article/pii/S1872497318300863",53,2018
"ordinary least squares","bioinformatics","Gene association networks from microarray data using a regularized estimation of partial correlation based on PLS regression","https://ieeexplore.ieee.org/abstract/document/4589202/",51,2008
"ordinary least squares","bioinformatics","Identification of relevant genes from microarray experiments based on partial least squares weights: application to cancer genomics","https://link.springer.com/chapter/10.1007/978-1-4419-0811-7_1",4,2009
"ordinary least squares","bioinformatics","Predicting transcription factor activities from combined analysis of microarray and ChIP data: a partial least squares approach","https://link.springer.com/article/10.1186/1742-4682-2-23",172,2005
"ordinary least squares","bioinformatics","Feature Selection for High-Dimensional Varying Coefficient Models via Ordinary Least Squares Projection","https://link.springer.com/article/10.1007/s40304-022-00326-2",1,2023
"ordinary least squares","bioinformatics","Performance of PLS regression coefficients in selecting variables for each response of a multivariate PLS for omics-type data","https://www.tandfonline.com/doi/abs/10.2147/aabc.s3619",132,2009
"ordinary least squares","bioinformatics","HB-PLS: An algorithm for identifying biological process or pathway regulators by integrating Huber loss and Berhu penalty with partial least squares regression","https://www.biorxiv.org/content/10.1101/2020.05.16.089623.abstract",1,2020
"ordinary least squares","bioinformatics","Mining for genotype-phenotype relations in Saccharomyces using partial least squares","https://link.springer.com/article/10.1186/1471-2105-12-318",32,2011
"ordinary least squares","bioinformatics","Orthogonal projection weights in dimension reduction based on partial least squares","https://www.inderscienceonline.com/doi/abs/10.1504/IJCIBSB.2009.024065",13,2009
"ordinary least squares","evolution","Statistical properties of the ordinary least-squares, generalized least-squares, and minimum-evolution methods of phylogenetic inference","https://link.springer.com/article/10.1007/BF00161174",377,1992
"ordinary least squares","evolution","Ordinary least squares regression is indicated for studies of allometry","https://academic.oup.com/jeb/article-abstract/30/1/4/7412141",205,2017
"ordinary least squares","evolution","Minimum evolution using ordinary least-squares is less robust than neighbor-joining","https://link.springer.com/article/10.1016/j.bulm.2004.07.007",9,2005
"ordinary least squares","evolution","Partial least squares (PLS) methods: Origins, evolution, and application to social sciences","https://www.tandfonline.com/doi/abs/10.1080/03610921003778225",407,2011
"ordinary least squares","evolution","Rapid evaluation of least squares and minimum evolution criteria on phylogenetic trees","http://ir.canterbury.ac.nz/bitstream/10092/11292/1/bryant_waddell_report_no154_1997.pdf",92,1997
"ordinary least squares","evolution","Subject:«Least Squares Method as a basis for determining regularity (regression) of evolution studied object»","https://www.researchgate.net/profile/Muhammad-Rahmatullayev/publication/366498378_Department_of_management_of_foreign_economic_activity_of_enterprises_REPORT/links/63a3e1bd5ed8895050401b46/Department-of-management-of-foreign-economic-activity-of-enterprises-REPORT.pdf","",""
"ordinary least squares","evolution","Evaluation of the effect of morphological traits on fish growth by comparison using ridge and ordinary least squares regression","https://prensipjournals.com/ojs/index.php/jofbs/article/view/255","",2024
"ordinary least squares","evolution","Continuum regression: cross‐validated sequentially constructed prediction embracing ordinary least squares, partial least squares and principal components …","https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/j.2517-6161.1990.tb01786.x",754,1990
"ordinary least squares","evolution","On the consistency of the minimum evolution principle of phylogenetic inference","https://www.sciencedirect.com/science/article/pii/S0166218X02002858",30,2003
"ordinary least squares","evolution","Ordinary Least Squares","http://repec.eae.fea.usp.br/documentos/Miessi_SilvaJunior_Srisuma_19WPa.pdf","",""
"ordinary least squares","evolution","Theoretical foundation of the balanced minimum evolution method of phylogenetic inference and its relationship to weighted least-squares tree fitting","https://academic.oup.com/mbe/article-abstract/21/3/587/1079580",284,2004
"ordinary least squares","evolution","On algorithms for ordinary least squares regression spline fitting: a comparative study","https://www.tandfonline.com/doi/abs/10.1080/00949650213743",81,2002
"ordinary least squares","evolution","Regional hydrologic analysis: 1. Ordinary, weighted, and generalized least squares compared","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/WR021i009p01421",490,1985
"ordinary least squares","evolution","Strengths and limitations of the minimum evolution principle","https://www.jstor.org/stable/3070802",47,2001
"ordinary least squares","evolution","Ordinary least square regression, orthogonal regression, geometric mean regression and their applications in aerosol science","https://iopscience.iop.org/article/10.1088/1742-6596/78/1/012084/meta",145,2007
"ordinary least squares","evolution","Robustness of phylogenetic inference based on minimum evolution","https://link.springer.com/article/10.1007/s11538-010-9510-y",22,2010
"ordinary least squares","evolution","A primer on phylogenetic generalised least squares","https://link.springer.com/chapter/10.1007/978-3-662-43550-2_5",463,2014
"ordinary least squares","evolution","Data envelopment analysis as nonparametric least-squares regression","https://pubsonline.informs.org/doi/abs/10.1287/opre.1090.0722",290,2010
"ordinary least squares","evolution","A generalized least-squares estimate for the origin of sporophytic self-incompatibility.","https://academic.oup.com/genetics/article-abstract/139/2/975/6013230",127,1995
"ordinary least squares","evolution","Time-varying linear regression via flexible least squares","https://www.sciencedirect.com/science/article/pii/0898122189900916",192,1989
"ordinary least squares","developmental biology","Prenatal Developmental Trajectories of Fluctuating Asymmetry in Bat Humeri","https://www.frontiersin.org/articles/10.3389/fcell.2021.639522/full","",2021
"ordinary least squares","developmental biology","Minimal variation in eutherian brain growth rates during fetal neurogenesis","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2017.0219",46,2017
"ordinary least squares","developmental biology","Postnatal development of the mouse larynx: negative allometry, age-dependent shape changes, morphological integration, and a size-dependent spectral feature","https://pubs.asha.org/doi/abs/10.1044/2020_JSLHR-20-00070",18,2020
"ordinary least squares","developmental biology","Thermodynamics constrains allometric scaling of optimal development time in insects","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0084308",29,2013
"ordinary least squares","developmental biology","The tempo of mammalian embryogenesis: variation in the pace of brain and body development","https://karger.com/bbe/article/97/1-2/96/821566",9,2022
"ordinary least squares","developmental biology","Making models match measurements: model optimization for morphogen patterning networks","https://www.sciencedirect.com/science/article/pii/S1084952114001906",16,2014
"ordinary least squares","developmental biology","On the relationship between ontogenetic and static allometry","https://www.journals.uchicago.edu/doi/abs/10.1086/668820",135,2013
"ordinary least squares","developmental biology","Bayesian Models for Relating Gene Expression and Morphological Shape Variation in Sea Urchin Larvae","https://search.proquest.com/openview/05100f95d5b37a5f470a8d9bf1999678/1?pq-origsite=gscholar&cbl=18750","",2012
"ordinary least squares","developmental biology","Centric allometry: Studying growth using landmark data","https://link.springer.com/article/10.1007/s11692-020-09530-w",11,2021
"ordinary least squares","developmental biology","The ontogeny of body shape: A comparison of pupal and adult static allometries in the neriid fly, Telostylinus angusticollis","https://unsworks.unsw.edu.au/bitstreams/7fdfb189-7e37-44c3-b056-e0183ca91347/download#page=105","",2018
"ordinary least squares","developmental biology","Extended parental provisioning and variation in vertebrate brain sizes","https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3002016",6,2023
"ordinary least squares","developmental biology","Learning “graph-mer” motifs that predict gene expression trajectories in development","https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000761",11,2010
"ordinary least squares","developmental biology","Variation in neural development as a result of exposure to institutionalization early in childhood","https://www.pnas.org/doi/abs/10.1073/pnas.1200041109",551,2012
"ordinary least squares","developmental biology","Shifts in growth, but not differentiation, foreshadow the formation of exaggerated forms under chicken domestication","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2021.0392",12,2021
"ordinary least squares","developmental biology","Deconstructing cartilage shape and size into contributions from embryogenesis, metamorphosis, and tadpole and frog growth","https://onlinelibrary.wiley.com/doi/abs/10.1111/joa.12303",20,2015
"ordinary least squares","developmental biology","Modelling avian growth with the Unified‐Richards: as exemplified by wader‐chick growth","https://onlinelibrary.wiley.com/doi/abs/10.1111/jav.00992",17,2017
"ordinary least squares","developmental biology","Developmental processes, evolvability, and dental diversification of New World monkeys","https://link.springer.com/article/10.1007/s11692-013-9229-4",41,2013
"ordinary least squares","developmental biology","Explaining differences in the lifespan and replicative capacity of cells: a general model and comparative analysis of vertebrates","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2012.1129",33,2012
"ordinary least squares","developmental biology","The ability of machine learning to predict skeletal maturation using the cervical vertebrae maturation (CVM) method on traced lateral cephalograms","https://search.proquest.com/openview/d0fcffb53f2f5897c89ec41955261329/1?pq-origsite=gscholar&cbl=18750&diss=y","",2021
"ordinary least squares","developmental biology","Assessing the patterns and drivers of shape complexity in the amblypygid pedipalp","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.7882",7,2021
"ordinary least squares","disease ecology","Disease ecology, biodiversity, and the latitudinal gradient in income","https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001456",128,2012
"ordinary least squares","disease ecology","Missing the people for the trees: Identifying coupled natural–human system feedbacks driving the ecology of Lyme disease","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2664.13289",37,2019
"ordinary least squares","disease ecology","Perspectives of spatial scale in a wildland forest epidemic","https://link.springer.com/article/10.1007/s10658-013-0376-3",14,2014
"ordinary least squares","disease ecology","Direct and indirect effects of forest microclimate on pathogen spillover","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecy.2686",19,2019
"ordinary least squares","disease ecology","Biogeographic and ecological regulation of disease: prevalence of Sin Nombre virus in island mice is related to island area, precipitation, and predator richness","https://www.journals.uchicago.edu/doi/abs/10.1086/659632",49,2011
"ordinary least squares","disease ecology","Spatio-temporal patterns in county-level incidence and reporting of Lyme disease in the northeastern United States, 1990–2000","https://link.springer.com/article/10.1007/s10651-006-0002-z",56,2007
"ordinary least squares","disease ecology","Environment drives disease through key traits: Why pollutants, nutrients, and host density shape fungal epidemics in Daphnia","https://search.proquest.com/openview/2c4da449edc482829facb35bdf3584e9/1?pq-origsite=gscholar&cbl=18750","",2013
"ordinary least squares","disease ecology","A malaria ecology index predicted spatial and temporal variation of malaria burden and efficacy of antimalarial interventions based on African serological data","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5361535/",15,2017
"ordinary least squares","disease ecology","Exploratory study on the spatial relationship between emerging infectious diseases and urban characteristics: Cases from Korea","https://www.sciencedirect.com/science/article/pii/S2210670720308878",38,2021
"ordinary least squares","disease ecology","Identifying individual and spatial drivers of heterogeneous transmission and virulence of malaria in Caribbean anoles","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.4297","",2022
"ordinary least squares","disease ecology","Metabolic theory of ecology successfully predicts distinct scaling of ectoparasite load on hosts","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2019.1777",15,2019
"ordinary least squares","disease ecology","Avian diversity and West Nile virus: testing associations between biodiversity and infectious disease risk","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2005.3284",395,2006
"ordinary least squares","disease ecology","Conservation, development and the management of infectious disease: avian influenza in China, 2004–2012","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2016.0126",6,2017
"ordinary least squares","disease ecology","Habitat fragmentation as a result of biotic and abiotic factors controls pathogen transmission throughout a host population","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2656.2007.01330.x",70,2008
"ordinary least squares","disease ecology","Epidemiological forecasting and the ecology of Ross River virus across Australia","https://figshare.utas.edu.au/articles/thesis/Epidemiological_forecasting_and_the_ecology_of_Ross_River_virus_across_Australia/23253737/1","",2022
"ordinary least squares","disease ecology","Spatial modelling, analysis and prediction of Hendra disease outbreaks in South East Queensland, Australia","https://research.usq.edu.au/item/q4wy5/spatial-modelling-analysis-and-prediction-of-hendra-disease-outbreaks-in-south-east-queensland-australia","",2017
"ordinary least squares","disease ecology","Exploring the socio-economic and environmental components of infectious diseases using multivariate geovisualization: West Nile Virus","https://peerj.com/articles/9577/",6,2020
"ordinary least squares","disease ecology","An Intersectional Feminist Approach to Lyme Disease Epidemiology","https://digitalcommons.library.umaine.edu/honors/526/","",2019
"ordinary least squares","disease ecology","Spatially explicit modeling of West Nile virus risk using environmental data","https://search.proquest.com/openview/9f46f36397c414fe4f3c2b775a1f5547/1?pq-origsite=gscholar&cbl=18750","",2015
"ordinary least squares","disease ecology","The macroecology of the COVID-19 pandemic in the Anthropocene","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236856",41,2020
"OLS","genetics","OLS is AOK for ACE: A regression-based approach to synthesizing political science and behavioral genetics models","https://link.springer.com/article/10.1007/s11109-012-9192-2",63,2013
"OLS","genetics","Data withholding in genetics and the other life sciences: prevalences and predictors","https://journals.lww.com/academicmedicine/fulltext/2006/02000/data_withholding_in_genetics_and_the_other_life.6.aspx",196,2006
"OLS","genetics","Population genetics and economic growth","https://link.springer.com/article/10.1023/A:1020604724888",39,2002
"OLS","genetics","Multiple regression analysis of the occupational status of twins: A comparison of economic and behavioural genetics models","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-0084.1996.mp58002001.x",16,1996
"OLS","genetics","Estimating effects of a single gene and polygenes on quantitative traits from a diallel design","https://link.springer.com/article/10.1007/s10709-006-7853-y",15,2006
"OLS","genetics","Ordinary least squares estimation of general and specific combining abilities from half-diallel mating designs","https://www.thuenen.de/media/institute/fg/PDF/Silvae_Genetica/1992/Vol._41_Heft_4-5/41_4-5_263.pdf",24,1992
"OLS","genetics","A review of techniques for spatial modeling in geographical, conservation and landscape genetics","https://www.scielo.br/j/gmb/a/Qw743WbW8GzyYks57tZF8cP/",83,2009
"OLS","genetics","Analysis of genetic effects of major genes and polygenes on quantitative traits: I. Genetic model for diploid plants and animals","https://link.springer.com/article/10.1007/s001220100692",13,2002
"OLS","genetics","Prediction of hybrid means from a partial circulant diallel table using the ordinary least square and the mixed model methods","https://www.scielo.br/j/gmb/a/Sx8V7QyYzHhVtN4b5rQZvFJ/?lang=en",14,2005
"OLS","genetics","Gain in efficiency from using generalized least squares in the Haseman‐Elston test","https://onlinelibrary.wiley.com/doi/abs/10.1002/gepi.1370120660",15,1995
"OLS","genetics","The effect of education on the relationship between genetics, early-life disadvantages, and later-life SES","https://www.nber.org/papers/w28750",24,2021
"OLS","genetics","An RBF Neural Network Combined with OLS Algorithm and Genetic Algorithm for Short‐Term Wind Power Forecasting","https://onlinelibrary.wiley.com/doi/abs/10.1155/2013/971389",63,2013
"OLS","genetics","Does education attenuate the genetic risk of obesity? Evidence from UK Twins","https://www.sciencedirect.com/science/article/pii/S1570677X18300492",10,2018
"OLS","genetics","Analysis of genetic effects of major genes and polygenes on quantitative traits. II. Genetic models for seed traits of crops","https://link.springer.com/article/10.1007/s00122-002-0958-5",14,2002
"OLS","genetics","Evaluation of three statistical prediction models for forensic age prediction based on DNA methylation","https://www.sciencedirect.com/science/article/pii/S1872497318300863",53,2018
"OLS","genetics","The current and future use of ridge regression for prediction in quantitative genetics","https://onlinelibrary.wiley.com/doi/abs/10.1155/2015/143712",114,2015
"OLS","genetics","Accounting for population structure in gene-by-environment interactions in genome-wide association studies using mixed models","https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005849",52,2016
"OLS","genetics","Statistical properties of the ordinary least-squares, generalized least-squares, and minimum-evolution methods of phylogenetic inference","https://link.springer.com/article/10.1007/BF00161174",377,1992
"OLS","genetics","The role of locus of control in adulthood outcomes: Evidence from Australian twins","https://www.sciencedirect.com/science/article/pii/S0167268120303541",13,2020
"OLS","genetics","The roles of genetics and environment in the distribution of earnings","",12,1978
"ordinary least squares","conservation","Development and evaluation of ordinary least squares regression models for predicting irrigated and rainfed maize and soybean yields","https://elibrary.asabe.org/abstract.asp?aid=43988",20,2013
"ordinary least squares","conservation","Modeling the spatial distribution of soil properties by generalized least squares regression: Toward a general theory of spatial variates","https://www.jswconline.org/content/68/3/172.short",21,2013
"ordinary least squares","conservation","Monitoring urban sprawl and the national ecological reserve in Sintra-Cascais, Portugal: Multiple OLS linear regression model evaluation","https://ascelibrary.org/doi/abs/10.1061/(ASCE)UP.1943-5444.0000059",39,2011
"ordinary least squares","conservation","The geometry of spatial analyses: implications for conservation biologists","https://repositorio.inpa.gov.br/handle/1/16166",30,2011
"ordinary least squares","conservation","Causal relationships between energy consumption, foreign direct investment and economic growth for MINT: Evidence from panel dynamic ordinary least square …","https://www.sciencedirect.com/science/article/pii/S095965261831802X",119,2018
"ordinary least squares","conservation","Detecting and modeling spatial and temporal dependence in conservation biology","https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/j.1523-1739.2000.99432.x",95,2000
"ordinary least squares","conservation","Estimating the counterfactual impact of conservation programs on land cover outcomes: The role of matching and panel regression techniques","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141380",114,2015
"ordinary least squares","conservation","Estimate the conservation value of biodiversity in national heritage site: A case of Forest Research Institute Malaysia","https://www.sciencedirect.com/science/article/pii/S187802961500626X",47,2015
"ordinary least squares","conservation","The impact of soil conservation and output diversification on farm income in Central American hillside farming","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1574-0862.2006.00161.x",129,2006
"ordinary least squares","conservation","An analysis of yield variation under soil conservation practices","https://www.jswconline.org/content/75/1/103.short",14,2020
"ordinary least squares","conservation","Development and biodiversity conservation in Sub-Saharan Africa: A spatial analysis","https://shs.hal.science/halshs-00799175/",4,2013
"ordinary least squares","conservation","The effect of wealth and real income on wildlife consumption among native Amazonians in Bolivia: estimates of annual trends with longitudinal household data (2002 …","https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-1795.2009.00330.x",116,2010
"ordinary least squares","conservation","Assessing Forest Conservation for Finland: An ARDL-Based Evaluation","https://www.mdpi.com/2071-1050/16/2/612",3,2024
"ordinary least squares","conservation","Community conservation and a two-stage approach to payments for ecosystem services","https://www.sciencedirect.com/science/article/pii/S0921800911003405",128,2011
"ordinary least squares","conservation","Economic growth, biodiversity loss and conservation effort","https://www.sciencedirect.com/science/article/pii/S0301479702002311",298,2003
"ordinary least squares","conservation","Conditionality contaminates conservation: Structural adjustment and land protection in less-developed nations","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/ijsoctu5&section=45",3,2017
"ordinary least squares","conservation","A comparison of simultaneous autoregressive and generalized least squares models for dealing with spatial autocorrelation","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-8238.2009.00446.x",67,2009
"ordinary least squares","conservation","Range‐wide selection of catchments for Pacific salmon conservation","https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/j.1523-1739.2008.01156.x",19,2009
"ordinary least squares","conservation","Evaluating forest conservation policies in developing countries using remote sensing data: An introduction and practical guide","https://www.sciencedirect.com/science/article/pii/S1389934113000671",139,2013
"ordinary least squares","conservation","Patterns of species richness and conservation of South American terrestrial mammals","https://search.proquest.com/openview/04b3ac8e826b5261749554d4a7593fa0/1?pq-origsite=gscholar&cbl=18750&diss=y","",2003
"OLS","environmental biology","What is the observed relationship between species richness and productivity?","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2001)082[2381:WITORB]2.0.CO;2",1950,2001
"OLS","environmental biology","What is the observed relationship between species richness and productivity? Comment","https://www.jstor.org/stable/3450082",185,2003
"OLS","environmental biology","The effects of habitat filtering on the phylogenetic structure of the urban flora of Brussels (Belgium)","https://akjournals.com/view/journals/168/13/1/article-p97.xml",12,2012
"OLS","environmental biology","Establishing the relationship between urban land-cover configuration and night time land-surface temperature using spatial regression","https://www.tandfonline.com/doi/abs/10.1080/01431161.2019.1594432",11,2019
"OLS","environmental biology","Environmental sustainability and economic growth: Evidence from some developing countries","https://www.researchgate.net/profile/Saman-Ghaderi-2/publication/289666603_Environmental_sustainability_and_economic_growth_Evidence_from_some_developing_countries/links/570e4f8008aee328dd653485/Environmental-sustainability-and-economic-growth-Evidence-from-some-developing-countries.pdf",20,2011
"OLS","environmental biology","Estimation of factors affecting rice import in Iran.","http://www.aensiweb.net/AENSIWEB/aeb/aeb/November%202014/352-356.pdf",1,2014
"OLS","environmental biology","Incorporating Industrial and Climatic Covariates into Analyses of Fish Health Indicators Measured in a Stream in Canada's Oil Sands Region","https://www.mdpi.com/2076-3298/9/6/73",5,2022
"OLS","environmental biology","Morphometric minefields—towards a measurement standard for chondrichthyan fishes","https://link.springer.com/article/10.1007/s10641-006-9109-1",119,2006
"OLS","environmental biology","Fish fins and scales as non-lethally sampled tissues for stable isotope analysis in five fish species of north–eastern Spain","https://link.springer.com/article/10.1007/s10641-014-0328-6",38,2015
"OLS","environmental biology","Trend analysis of institutional credit disbursement in agriculture sector of Pakistan (1983-2015)","https://go.gale.com/ps/i.do?id=GALE%7CA469502169&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=19950756&p=AONE&sw=w","",2016
"OLS","environmental biology","Fish communities on staghorn coral: effects of habitat characteristics and resident farmerfishes","https://link.springer.com/article/10.1007/s10641-011-9802-6",49,2011
"OLS","environmental biology","Theories and Dividend Payout Ratio","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=a8e3c60fd7bd26adb8d05eb7db01a8666a66a0db",1,2013
"OLS","environmental biology","Anti‐Dermatophyte and Anti‐Malassezia Activity of Extracts Rich in Polymeric Flavan‐3‐ols Obtained from Vitis vinifera Seeds","https://onlinelibrary.wiley.com/doi/abs/10.1002/ptr.5739",37,2017
"OLS","environmental biology","B. Sc (Ecology and Environmental Biology), Peking University, 1992 M. Sc.(Biochemistry and Molecular Biology), Peking University, 1995","https://www.collectionscanada.gc.ca/obj/s4/f2/dsk4/etd/NQ85450.PDF?is_thesis=1&oclc_number=57282439","",2002
"OLS","environmental biology","Examination of Relation Between Operating Cycle, Inflation and Cash Holdings in the Listed Companies in Tehran Stock Exchange","http://www.aensiweb.net/AENSIWEB/aeb/aeb/August%202014/1591-1595.pdf",1,2014
"OLS","environmental biology","Host imprinting in anemonefishes (Pisces: Pomacentridae): does it dictate spawning site preferences?","https://link.springer.com/article/10.1023/A:1007652902857",46,2000
"OLS","environmental biology","Visualizing the future of Iran's market of agricultural products with an emphasis on membership in WTO (the case study of wheat)","","",2012
"OLS","environmental biology","Examining the impact of family ownership on corporate information transparency","https://go.gale.com/ps/i.do?id=GALE%7CA417895175&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=19950756&p=AONE&sw=w","",2014
"OLS","environmental biology","Investigating the impact of ownership structure and tax rate on capital structure of the listed companies in Tehran stock exchange","https://go.gale.com/ps/i.do?id=GALE%7CA417895202&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=19950756&p=AONE&sw=w","",2014
"OLS","environmental biology","Examining the impact of financing methods and working capital management on value of the listed companies in Tehran stock exchange","https://go.gale.com/ps/i.do?id=GALE%7CA417895400&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=19950756&p=AONE&sw=w",2,2014
