,Model,Bio_term,Title,Link,Citations,Year
819,{'linear regression'},{'genomics'},Population genomics of human gene expression,https://www.nature.com/articles/ng2142,1378.0,2007.0
706,{'OLS'},{'neurobiology'},Neurobiology of periventricular leukomalacia in the premature infant,https://www.nature.com/articles/pr2001219,1324.0,2001.0
954,"{'ordinary least squares', 'OLS'}","{'ecology', 'biogeography', 'biology'}",Spatial autocorrelation and red herrings in geographical ecology,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1466-822X.2003.00322.x,1198.0,2003.0
584,{'linear regression'},{'biology'},Linear regression in astronomy.,https://adsabs.harvard.edu/full/1990ApJ...364..104I,1192.0,1990.0
889,"{'OLS', 'linear regression'}","{'conservation', 'biogeography', 'biology'}","Regression and model-building in conservation biology, biogeography and ecology: the distinction between–and reconciliation of–'predictive'and 'explanatory'models",https://link.springer.com/article/10.1023/A:1008985925162,1159.0,2000.0
617,"{'ordinary least squares', 'OLS'}","{'ecology', 'biology'}",Mass/length residuals: measures of body condition or generators of spurious results?,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2001)082[1473:MLRMOB]2.0.CO;2,1115.0,2001.0
208,{'linear regression'},{'neurobiology'},Clinical progression in Parkinson disease and the neurobiology of axons,https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.21995,1105.0,2010.0
953,"{'ordinary least squares', 'OLS'}",{'ecology'},Spatial autocorrelation and autoregressive models in ecology,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9615(2002)072[0445:SAAAMI]2.0.CO;2,1098.0,2002.0
963,{'linear regression'},{'biodiversity'},Spatial scale dictates the productivity–biodiversity relationship,https://www.nature.com/articles/416427a,994.0,2002.0
711,{'linear regression'},{'biology'},Non-linear regression of biological temperature-dependent rate models based on absolute reaction-rate theory,https://www.sciencedirect.com/science/article/pii/0022519381902460,947.0,1981.0
730,{'OLS'},{'developmental biology'},Oligodendrocyte dynamics in the healthy adult CNS: evidence for myelin remodeling,https://www.cell.com/neuron/fulltext/S0896-6273(13)00050-0,900.0,2013.0
1042,{'linear regression'},{'phylogenetics'},The caper package: comparative analysis of phylogenetics and evolution in R,http://www.jcsantosresearch.org/Class_2014_Spring_Comparative/pdf/week_11/caper_tutorial.pdf,873.0,2013.0
794,{'linear regression'},"{'evolution', 'ecology'}",Phylogenetic signal and linear regression on species data,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.2041-210X.2010.00044.x,866.0,2010.0
29,{'linear regression'},{'evolution'},A linear-time algorithm for Gaussian and non-Gaussian trait evolution models,https://academic.oup.com/sysbio/article-abstract/63/3/397/1649891,856.0,2014.0
1102,"{'ordinary least squares', 'OLS'}","{'biogeography', 'ecology'}",Towards an integrated computational tool for spatial analysis in macroecology and biogeography,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-822X.2006.00237.x,765.0,2006.0
720,{'linear regression'},{'metabolomics'},Novel biomarkers for pre‐diabetes identified by metabolomics,https://www.embopress.org/doi/abs/10.1038/msb.2012.43,761.0,2012.0
255,{'ordinary least squares'},{'evolution'},"Continuum regression: cross‐validated sequentially constructed prediction embracing ordinary least squares, partial least squares and principal components …",https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/j.2517-6161.1990.tb01786.x,754.0,1990.0
808,{'linear regression'},{'phylogenomics'},Phylogenomics: the beginning of incongruence?,https://www.cell.com/trends/genetics/fulltext/S0168-9525(06)00051-5?large_figure=true,715.0,2006.0
634,{'linear regression'},{'metabolomics'},Metabolomics: current technologies and future trends,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/pmic.200600106,680.0,2006.0
171,{'linear regression'},{'biodiversity'},Biodiversity effects on soil processes explained by interspecific functional dissimilarity,https://www.science.org/doi/abs/10.1126/science.1101865,677.0,2004.0
1025,{'OLS'},{'systems biology'},The Inferelator: an algorithm for learning parsimonious regulatory networks from systems-biology data sets de novo,https://link.springer.com/article/10.1186/gb-2006-7-5-r36,676.0,2006.0
58,{'linear regression'},{'biology'},A step-by-step guide to non-linear regression analysis of experimental data using a Microsoft Excel spreadsheet,https://www.sciencedirect.com/science/article/pii/S0169260700001243,675.0,2001.0
716,{'linear regression'},{'ecology'},Nontraditional regression analyses,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1939921,658.0,1993.0
932,{'linear regression'},{'biodiversity'},Scale dependence in plant biodiversity,https://www.science.org/doi/abs/10.1126/science.291.5505.864,637.0,2001.0
448,{'linear regression'},{'medical imaging'},Fractal feature analysis and classification in medical imaging,https://ieeexplore.ieee.org/abstract/document/24861/,615.0,1989.0
652,{'linear regression'},{'genetics'},Mixed-model association for biobank-scale datasets,https://www.nature.com/articles/s41588-018-0144-6,594.0,2018.0
739,{'linear regression'},{'ecology'},On the misuse of residuals in ecology: testing regression residuals vs. the analysis of covariance,https://www.jstor.org/stable/2693550,580.0,2001.0
710,{'linear regression'},{'genetics'},Non-linear regression models for Approximate Bayesian Computation,https://link.springer.com/article/10.1007/s11222-009-9116-0,574.0,2010.0
225,{'linear regression'},{'genomics'},Comparative population genomics in animals uncovers the determinants of genetic diversity,https://www.nature.com/articles/nature13685,567.0,2014.0
883,{'linear regression'},{'metabolomics'},Reflections on univariate and multivariate analysis of metabolomics data,https://link.springer.com/article/10.1007/s11306-013-0598-6,561.0,2014.0
1137,"{'ordinary least squares', 'OLS'}",{'developmental biology'},Variation in neural development as a result of exposure to institutionalization early in childhood,https://www.pnas.org/doi/abs/10.1073/pnas.1200041109,551.0,2012.0
999,{'linear regression'},{'ecology'},Studying beta diversity: ecological variation partitioning by multiple regression and canonical analysis,https://academic.oup.com/jpe/article-abstract/1/1/3/1130269,547.0,2008.0
102,{'linear regression'},{'phylogenetics'},An eigenvector method for estimating phylogenetic inertia,https://academic.oup.com/evolut/article-abstract/52/5/1247/6757539,524.0,1998.0
73,{'linear regression'},{'conservation'},Adoption of soil conservation practices in Belgium: An examination of the theory of planned behaviour in the agri-environmental domain,https://www.sciencedirect.com/science/article/pii/S0264837709000295,513.0,2010.0
1101,{'linear regression'},{'systems biology'},Towards a rigorous assessment of systems biology models: the DREAM3 challenges,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0009202,497.0,2010.0
851,{'linear regression'},{'evolution'},Protein dispensability and rate of evolution,https://www.nature.com/articles/35082561,493.0,2001.0
1094,{'linear regression'},{'microbiology'},Three-year experience with sonicated vascular catheter cultures in a clinical microbiology laboratory,https://journals.asm.org/doi/abs/10.1128/jcm.28.1.76-82.1990,493.0,1990.0
884,{'ordinary least squares'},{'evolution'},"Regional hydrologic analysis: 1. Ordinary, weighted, and generalized least squares compared",https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/WR021i009p01421,490.0,1985.0
288,{'linear regression'},{'proteomics'},Detecting differential and correlated protein expression in label-free shotgun proteomics,https://pubs.acs.org/doi/abs/10.1021/pr0600273,479.0,2006.0
718,{'linear regression'},{'proteomics'},Normalization approaches for removing systematic biases associated with mass spectrometry and label-free proteomics,https://pubs.acs.org/doi/abs/10.1021/pr050300l,469.0,2006.0
217,{'linear regression'},{'immunology'},Common genetic variation and the control of HIV-1 in humans,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000791,468.0,2009.0
432,{'linear regression'},{'conservation'},"Factors influencing conservation attitudes of local people in Western Serengeti, Tanzania",https://link.springer.com/article/10.1007/s10531-006-9132-8,466.0,2007.0
51,"{'ordinary least squares', 'OLS'}","{'phylogenetics', 'evolution', 'biology'}",A primer on phylogenetic generalised least squares,https://link.springer.com/chapter/10.1007/978-3-662-43550-2_5,463.0,2014.0
503,{'OLS'},{'disease classification'},"Human Disease Ontology 2018 update: classification, content and workflow expansion",https://academic.oup.com/nar/article-abstract/47/D1/D955/5165342,462.0,2019.0
360,{'linear regression'},{'marine biology'},Effects of temperature on photosynthesis and respiration in hermatypic corals,https://link.springer.com/article/10.1007/BF00402313,450.0,1977.0
700,{'linear regression'},{'biology'},"Natural products as insecticides: the biology, biochemistry and quantitative structure–activity relationships of spinosyns and spinosoids",https://onlinelibrary.wiley.com/doi/abs/10.1002/ps.358,449.0,2001.0
570,{'linear regression'},{'biodiversity'},Landscape structure as an indicator of biodiversity: matrix effects on species richness,https://www.sciencedirect.com/science/article/pii/S0167880903000926,449.0,2003.0
613,{'OLS'},{'marine biology'},Marine connectivity: a new look at pelagic larval duration and genetic metrics of dispersal,https://www.int-res.com/abstracts/meps/v436/p291-305/,444.0,2011.0
167,"{'ordinary least squares', 'OLS'}",{'biodiversity'},Biodiversity and ecosystem services: A multi-scale empirical study of the relationship between species richness and net primary production,https://www.sciencedirect.com/science/article/pii/S0921800906001728,443.0,2007.0
447,{'linear regression'},{'biodiversity'},Forecasting global biodiversity threats associated with human population growth,https://www.sciencedirect.com/science/article/pii/S0006320703000995,441.0,2004.0
53,{'linear regression'},{'proteomics'},A quantitative analysis software tool for mass spectrometry–based proteomics,https://www.nature.com/articles/nmeth.1195,434.0,2008.0
469,{'linear regression'},{'genomics'},"Genomic selection using regularized linear regression models: ridge regression, lasso, elastic net and their extensions",https://link.springer.com/article/10.1186/1753-6561-6-S2-S10,430.0,2012.0
263,{'ordinary least squares'},{'neurobiology'},Critical ages in the life course of the adult brain: nonlinear subcortical aging,https://www.sciencedirect.com/science/article/pii/S0197458013001590,414.0,2013.0
54,{'ordinary least squares'},{'environmental biology'},A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,https://onlinelibrary.wiley.com/doi/abs/10.1002/rra.918,408.0,2006.0
776,{'ordinary least squares'},{'evolution'},"Partial least squares (PLS) methods: Origins, evolution, and application to social sciences",https://www.tandfonline.com/doi/abs/10.1080/03610921003778225,407.0,2011.0
250,{'OLS'},{'conservation'},Conservation and development: Evidence from Thai protected areas,https://www.sciencedirect.com/science/article/pii/S0095069610000586,402.0,2010.0
148,{'ordinary least squares'},{'disease ecology'},Avian diversity and West Nile virus: testing associations between biodiversity and infectious disease risk,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2005.3284,395.0,2006.0
667,{'OLS'},{'biogeography'},Modelling geographical patterns in species richness using eigenvector‐based spatial filters,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-822X.2005.00147.x,387.0,2005.0
275,"{'ordinary least squares', 'OLS'}",{'ecology'},Dealing with collinearity in behavioural and ecological data: model averaging and the problems of measurement error,https://link.springer.com/article/10.1007/s00265-010-1045-6,381.0,2011.0
759,"{'ordinary least squares', 'OLS'}",{'metabolomics'},PCA as a practical indicator of OPLS-DA model reliability,https://www.ingentaconnect.com/content/ben/cmb/2016/00000004/00000002/art00004,380.0,2016.0
987,"{'ordinary least squares', 'OLS'}","{'evolution', 'genetics', 'biology'}","Statistical properties of the ordinary least-squares, generalized least-squares, and minimum-evolution methods of phylogenetic inference",https://link.springer.com/article/10.1007/BF00161174,377.0,1992.0
157,{'linear regression'},"{'conservation', 'biology'}",Bayesian methods in conservation biology,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1046/j.1523-1739.2000.99415.x,374.0,2000.0
936,{'linear regression'},{'proteomics'},Selected reaction monitoring applied to proteomics,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/jms.1895,361.0,2011.0
412,{'linear regression'},{'evolution'},Evolution of the US tornado database: 1954–2003,https://journals.ametsoc.org/view/journals/wefo/21/1/waf910_1.xml?tab_body=fulltext-display,353.0,2006.0
742,{'linear regression'},{'biology'},On the use of log‐transformation vs. nonlinear regression for analyzing biological power laws,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/11-0538.1,352.0,2011.0
894,{'linear regression'},{'genomics'},Regularized multivariate regression for identifying master predictors with application to integrative genomics study of breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3905690/,340.0,2010.0
544,{'linear regression'},{'biogeography'},Insular biogeography in continental regions. I. The northern Andes of South America,https://www.journals.uchicago.edu/doi/abs/10.1086/282671,336.0,1970.0
522,{'OLS'},"{'conservation', 'biodiversity', 'ecology', 'biology'}","Impacts of urbanization and landscape pattern on habitat quality using OLS and GWR models in Hangzhou, China",https://www.sciencedirect.com/science/article/pii/S1470160X20305914,335.0,2020.0
509,"{'ordinary least squares', 'OLS'}",{'biogeography'},Ice age legacies in the geographical distribution of tree species richness in Europe,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-8238.2006.00280.x,332.0,2007.0
1064,{'linear regression'},{'biodiversity'},The influence of geomorphological heterogeneity on biodiversity II. A landscape perspective,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/j.1523-1739.1998.96237.x,328.0,1998.0
516,{'linear regression'},{'ecology'},Identifying keystone species in the human gut microbiome from metagenomic timeseries using sparse linear regression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0102451,325.0,2014.0
683,"{'ordinary least squares', 'OLS'}",{'phylogenetics'},Morphometrics of the avian small intestine compared with that of nonflying mammals: a phylogenetic approach,https://www.journals.uchicago.edu/doi/abs/10.1086/590395,325.0,2008.0
558,{'linear regression'},{'developmental biology'},Invasion of mesenchyme into three-dimensional collagen gels: a regional and temporal analysis of interaction in embryonic heart tissue,https://www.sciencedirect.com/science/article/pii/0012160683900106,322.0,1983.0
531,{'OLS'},{'ecology'},Incorporating spatial autocorrelation may invert observed patterns,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1472-4642.2006.00293.x,313.0,2007.0
213,"{'ordinary least squares', 'OLS'}",{'ecology'},Coefficient shifts in geographical ecology: an empirical evaluation of spatial and non‐spatial regression,https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0587.2009.05717.x,307.0,2009.0
476,{'OLS'},{'biogeography'},Global biogeography and ecology of body size in birds,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-0248.2009.01281.x,306.0,2009.0
452,{'linear regression'},{'genomics'},GRASSIUS: a platform for comparative regulatory genomics across the grasses,https://academic.oup.com/plphys/article-abstract/149/1/171/6107998,303.0,2009.0
59,{'linear regression'},{'proteomics'},A systematic evaluation of normalization methods in quantitative label-free proteomics,https://academic.oup.com/bib/article-abstract/19/1/1/2562889,299.0,2018.0
349,"{'ordinary least squares', 'OLS'}","{'biodiversity', 'conservation'}","Economic growth, biodiversity loss and conservation effort",https://www.sciencedirect.com/science/article/pii/S0301479702002311,298.0,2003.0
536,{'linear regression'},{'microbiology'},Inflammatory phenotypes in patients with severe asthma are associated with distinct airway microbiology,https://www.sciencedirect.com/science/article/pii/S0091674917307431,298.0,2018.0
838,{'linear regression'},{'microbiology'},Predictive food microbiology,https://www.sciencedirect.com/science/article/pii/S0924224405800044,295.0,1993.0
33,{'linear regression'},{'disease ecology'},A meta‐analysis suggesting that the relationship between biodiversity and risk of zoonotic pathogen transmission is idiosyncratic,https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12101,294.0,2013.0
128,{'linear regression'},"{'marine biology', 'biology'}",Appropriate use of regression analysis in marine biology,https://link.springer.com/article/10.1007/BF00397062,293.0,1981.0
272,{'ordinary least squares'},{'evolution'},Data envelopment analysis as nonparametric least-squares regression,https://pubsonline.informs.org/doi/abs/10.1287/opre.1090.0722,290.0,2010.0
989,"{'ordinary least squares', 'OLS'}","{'phylogenetics', 'phylogenomics'}",Statistics and truth in phylogenomics,https://academic.oup.com/mbe/article-abstract/29/2/457/1024815,290.0,2012.0
873,{'OLS'},{'microbiology'},Re-examination of the relationship between marine virus and microbial cell abundances,https://www.nature.com/articles/nmicrobiol201524,287.0,2016.0
350,{'OLS'},"{'biodiversity', 'conservation'}","Economic prosperity, biodiversity conservation, and the environmental Kuznets curve",https://www.sciencedirect.com/science/article/pii/S0921800909000391,287.0,2009.0
990,{'linear regression'},{'environmental biology'},Statistics for environmental biology and toxicology,https://www.taylorfrancis.com/books/mono/10.1201/9780203738504/statistics-environmental-biology-toxicology-john-bailer,287.0,2020.0
98,{'linear regression'},{'evolution'},An annual load forecasting model based on support vector regression with differential evolution algorithm,https://www.sciencedirect.com/science/article/pii/S0306261912000165,284.0,2012.0
1091,{'ordinary least squares'},{'evolution'},Theoretical foundation of the balanced minimum evolution method of phylogenetic inference and its relationship to weighted least-squares tree fitting,https://academic.oup.com/mbe/article-abstract/21/3/587/1079580,284.0,2004.0
262,{'ordinary least squares'},{'marine biology'},"Covariability in early growth and year-class strength of Barents Sea cod, haddock, and herring: the environmental link",https://academic.oup.com/icesjms/article-abstract/57/2/339/620446,283.0,2000.0
698,{'linear regression'},{'metabolomics'},Multivariate methods in metabolomics–from pre-processing to dimension reduction and statistical analysis,https://www.sciencedirect.com/science/article/pii/S0165993611000914,281.0,2011.0
279,{'linear regression'},{'medical imaging'},Deep learning in medical imaging,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945006/,281.0,2019.0
26,{'OLS'},{'proteomics'},A guide to the Proteomics Identifications Database proteomics data repository,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/pmic.200900402,277.0,2009.0
859,{'linear regression'},{'microbiology'},Quantification of diatom and dinoflagellate biomasses in coastal marine seawater samples by real-time PCR,https://journals.asm.org/doi/abs/10.1128/aem.01298-08,277.0,2008.0
1009,{'linear regression'},"{'biology', 'systems biology'}",Systems biology modeling of the radiation sensitivity network: a biomarker discovery platform,https://www.sciencedirect.com/science/article/pii/S036030160900830X,273.0,2009.0
86,{'linear regression'},{'conservation'},Allocation of resources for conservation,http://www.rhinoresourcecenter.com/pdf_files/124/1240210302.pdf,262.0,1988.0
344,{'linear regression'},{'biogeography'},Ecological biogeography of North American mammals: species density and ecological structure in relation to environmental gradients,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2699.2000.00498.x,262.0,2000.0
563,{'linear regression'},{'biogeography'},Island biogeography of the Anthropocene,https://www.nature.com/articles/nature13739,262.0,2014.0
699,{'OLS'},{'phylogenetics'},"Multivariate phylogenetic comparative methods: evaluations, comparisons, and recommendations",https://academic.oup.com/sysbio/article-abstract/67/1/14/3867043,259.0,2018.0
165,{'linear regression'},{'bioinformatics'},Big data bioinformatics,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcp.24662,256.0,2014.0
1057,{'linear regression'},{'evolution'},The hydrogen evolution reaction on nickel surfaces stabilized by H-absorption,https://www.sciencedirect.com/science/article/pii/0013468694E0003I,253.0,1994.0
519,{'OLS'},{'biodiversity'},Impact of climate change on biodiversity loss: global evidence,https://link.springer.com/article/10.1007/s11356-021-15702-8,250.0,2022.0
1002,{'linear regression'},{'marine biology'},Survival and growth of bivalve larvae under heavy-metal stress,https://link.springer.com/article/10.1007/BF00394024,249.0,1977.0
36,{'linear regression'},{'conservation'},A modification to the Soil Conservation Service curve number method for steep slopes in the Loess Plateau of China,https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.5925,247.0,2006.0
187,{'OLS'},{'systems biology'},Biomolecular networks: methods and applications in systems biology,https://books.google.com/books?hl=en&lr=&id=MCsUp_V-RV4C&oi=fnd&pg=PR7&dq=%22OLS%22+%22systems+biology%22&ots=CvOtW2VVp_&sig=E3IV8C0wQk7xkr21nIyaDarEwNE,245.0,2009.0
880,"{'ordinary least squares', 'OLS'}",{'ecology'},Red herrings revisited: spatial autocorrelation and parameter estimation in geographical ecology,https://onlinelibrary.wiley.com/doi/full/10.1111/j.0906-7590.2007.05117.x,242.0,2007.0
958,{'OLS'},{'evolution'},Spatial evolution of population and industry in the United States,https://pubs.aeaweb.org/doi/abs/10.1257/aer.89.2.321,240.0,1999.0
844,{'linear regression'},{'bioinformatics'},Principal component analysis based methods in bioinformatics studies,https://academic.oup.com/bib/article-abstract/12/6/714/221174,236.0,2011.0
654,"{'ordinary least squares', 'OLS'}","{'ecology', 'biogeography', 'biology'}",Model selection and information theory in geographical ecology,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-8238.2008.00395.x,236.0,2008.0
202,{'OLS'},{'evolution'},Changing returns to education in Portugal during the 1980s and early 1990s: OLS and quantile regression estimators,https://www.tandfonline.com/doi/abs/10.1080/00036840122679,236.0,2001.0
312,{'linear regression'},{'evolution'},Different time evolution of oxyhemoglobin and deoxyhemoglobin concentration changes in the visual and motor cortices during functional stimulation: a near-infrared …,https://www.sciencedirect.com/science/article/pii/S1053811902911286,235.0,2002.0
162,{'linear regression'},{'genomics'},Bayesian variable selection in structured high-dimensional covariate spaces with applications in genomics,https://www.tandfonline.com/doi/abs/10.1198/jasa.2010.tm08177,234.0,2010.0
801,{'linear regression'},{'phylogenomics'},Phylogenomics of Lophotrochozoa with consideration of systematic error,https://academic.oup.com/sysbio/article-abstract/66/2/256/2449704,228.0,2017.0
240,{'linear regression'},{'metabolomics'},Computational and statistical analysis of metabolomics data,https://link.springer.com/article/10.1007/s11306-015-0823-6,227.0,2015.0
728,{'OLS'},{'marine biology'},Offspring size and performance in variable environments: field studies on a marine snail,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2001)082[1597:OSAPIV]2.0.CO;2,226.0,2001.0
113,"{'ordinary least squares', 'OLS'}","{'biogeography', 'ecology'}",Analysis of determinants of mammalian species richness in South America using spatial autoregressive models,https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.0906-7590.2004.03732.x,225.0,2004.0
594,{'linear regression'},{'evolution'},"Longitudinal evolution of true protein, amino acids and bioactive proteins in breast milk: a developmental perspective",https://www.sciencedirect.com/science/article/pii/S0955286316301711,221.0,2017.0
173,{'linear regression'},{'biodiversity'},"Biodiversity, profitability, and vegetation structure in a Mexican coffee agroecosystem",https://www.sciencedirect.com/science/article/pii/S0167880906001782,217.0,2007.0
719,{'linear regression'},{'metabolomics'},Normalizing and integrating metabolomics data,https://pubs.acs.org/doi/abs/10.1021/ac302748b,217.0,2012.0
839,{'linear regression'},{'microbiology'},Predictive microbiology in foods,https://link.springer.com/chapter/10.1007/978-1-4614-5520-2_1,213.0,2013.0
40,{'linear regression'},{'paleontology'},A new method to calculate allometric length-mass relationships of dinosaurs,https://www.tandfonline.com/doi/abs/10.1671/0272-4634(2001)021[0051:ANMTCA]2.0.CO;2,212.0,2001.0
1119,{'linear regression'},{'biogeography'},Urban biogeography: city parks as islands for Diptera and Coleoptera,https://link.springer.com/article/10.1007/BF00344697,206.0,1978.0
124,{'linear regression'},{'biodiversity'},Antioxidant activity of twenty five plants from Colombian biodiversity,https://www.scielo.br/j/mioc/a/7FNzGPTy6gQYPjdLPB94nrJ/?lang=en&format=html,205.0,2007.0
751,"{'ordinary least squares', 'OLS'}","{'evolution', 'ecology', 'biology'}",Ordinary least squares regression is indicated for studies of allometry,https://academic.oup.com/jeb/article-abstract/30/1/4/7412141,205.0,2017.0
180,{'linear regression'},{'biogeography'},Biogeography of the global ocean's mesopelagic zone,https://www.cell.com/current-biology/pdf/S0960-9822(16)31328-8.pdf,204.0,2017.0
284,{'OLS'},{'immunology'},"Dendritic cells in lupus are not required for activation of T and B cells but promote their expansion, resulting in tissue damage",https://www.cell.com/immunity/fulltext/S1074-7613(10)00455-3,202.0,2010.0
346,{'ordinary least squares'},{'environmental biology'},Ecological statistics: contemporary theory and application,https://books.google.com/books?hl=en&lr=&id=oh1cBgAAQBAJ&oi=fnd&pg=PR13&dq=%22ordinary+least+squares%22+%22environmental+biology%22&ots=tEOVdQJBzF&sig=GLTqdfmiqph73Kpys5UPtYgDmsQ,200.0,2015.0
658,{'OLS'},{'systems biology'},Modeling gene expression regulatory networks with the sparse vector autoregressive model,https://link.springer.com/article/10.1186/1752-0509-1-39,199.0,2007.0
1099,{'ordinary least squares'},{'marine biology'},"Toward a predictive understanding of primary productivity in a temperate, partially stratified estuary",https://www.sciencedirect.com/science/article/pii/S0272771401909175,197.0,2002.0
274,{'OLS'},{'genetics'},Data withholding in genetics and the other life sciences: prevalences and predictors,https://journals.lww.com/academicmedicine/fulltext/2006/02000/data_withholding_in_genetics_and_the_other_life.6.aspx,196.0,2006.0
25,{'OLS'},{'ecology'},A global evaluation of metabolic theory as an explanation for terrestrial species richness gradients,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/06-1444.1,195.0,2007.0
117,{'linear regression'},{'ecology'},"Analysis of simple sequence repeats (SSRs) in wild barley from the Fertile Crescent: associations with ecology, geography and flowering time",https://link.springer.com/article/10.1023/A:1014875800036,195.0,2002.0
