,Model,Bio_term,Title,Link,Citations,Year,Explicit use of the model,Model applied to biological research,Outcome and implications based on model,Keep,Notes
28,random forest,biodiversity,"Comparison of random forest, support vector machines, and neural networks for post-disaster forest species mapping of the krkonoše/karkonosze …",https://www.mdpi.com/2072-4292/13/13/2581,48,2021,,,,,
29,random forest,conservation,Long-term effects of conservation tillage on soil erosion in Central Europe: A random forest-based approach,https://www.sciencedirect.com/science/article/pii/S0167198721000295,47,2021,,,,,
30,random forest,neurobiology,DTI based Alzheimer's disease classification with rank modulated fusion of CNNs and random forest,https://www.sciencedirect.com/science/article/pii/S0957417420310265,46,2021,,,,,
31,random forest,disease classification,Disease classification based on eye movement features with decision tree and random forest,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2020.00798/full,46,2020,,,,,
32,random forest,evolution,Human activity recognition based on evolution of features selection and random Forest,https://ieeexplore.ieee.org/abstract/document/8913868/,45,2019,,,,,
33,random forest,environmental biology,Application-specific clustering in wireless sensor networks using combined fuzzy firefly algorithm and random forest,https://www.sciencedirect.com/science/article/pii/S0957417422014804,44,2022,,,,,
34,random forest,phylogenetics,"Comparative Metabolomics and Molecular Phylogenetics of Melon (Cucumis melo, Cucurbitaceae) Biodiversity",https://www.mdpi.com/2218-1989/10/3/121,44,2020,,,,,
35,random forest,biogeography,Global biogeography and projection of soil antibiotic resistance genes,https://www.science.org/doi/abs/10.1126/sciadv.abq8015,44,2022,,,,,
36,random forest,biodiversity,Generalised Additive Models and Random Forest Approach as effective methods for predictive species density and functional species richness,https://link.springer.com/article/10.1007/s10651-020-00445-5,43,2020,,,,,
37,random forest,neurobiology,Machine learning analysis of matricellular proteins and clinical variables for early prediction of delayed cerebral ischemia after aneurysmal subarachnoid hemorrhage,https://link.springer.com/article/10.1007/s12035-019-1601-7,42,2019,,,,,
38,random forest,disease classification,Detection of maize disease using random forest classification algorithm,https://turcomat.org/index.php/turkbilmat/article/view/3141,41,2021,,,,,
39,random forest,biogeography,Comparison between optimized MaxEnt and random forest modeling in predicting potential distribution: A case study with Quasipaa boulengeri in China,https://www.sciencedirect.com/science/article/pii/S004896972203964X,41,2022,,,,,
40,random forest,medical imaging,MRI‐based radiomics signature for tumor grading of rectal carcinoma using random forest model,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcp.28650,39,2019,,,,,
41,random forest,genetics,Random forest assessment of correlation between environmental factors and genetic differentiation of populations: Case of marine mussels Mytilus,https://www.sciencedirect.com/science/article/pii/S0078323418300927,39,2019,,,,,
42,random forest,metabolomics,Predictive modeling for metabolomics data,https://link.springer.com/protocol/10.1007/978-1-0716-0239-3_16,38,2020,,,,,
43,random forest,proteomics,RF-GlutarySite: a random forest based predictor for glutarylation sites,https://pubs.rsc.org/en/content/articlehtml/2019/mo/c9mo00028c,37,2019,,,,,
44,random forest,genomics,Machine learning random forest for predicting oncosomatic variant NGS analysis,https://www.nature.com/articles/s41598-021-01253-y,37,2021,,,,,
45,random forest,evolution,A hybrid classification method for Twitter spam detection based on differential evolution and random forest,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.6381,36,2021,,,,,
46,random forest,neurobiology,Deep learning‐based model for diagnosing Alzheimer's disease and tauopathies,https://onlinelibrary.wiley.com/doi/abs/10.1111/nan.12759,36,2022,,,,,
47,random forest,genomics,Enriched random forest for high dimensional genomic data,https://ieeexplore.ieee.org/abstract/document/9456080/,35,2021,,,,,
48,random forest,biodiversity,A random forest modelling procedure for a multi-sensor assessment of tree species diversity,https://www.mdpi.com/2072-4292/12/7/1210,34,2020,,,,,
49,random forest,microbiology,PlasForest: a homology-based random forest classifier for plasmid detection in genomic datasets,https://link.springer.com/article/10.1186/s12859-021-04270-w,33,2021,,,,,
50,random forest,disease classification,PCA-RF: an efficient Parkinson's disease prediction model based on random forest classification,https://arxiv.org/abs/2203.11287,33,2022,,,,,
51,random forest,conservation,Conservation machine learning: a case study of random forests,https://www.nature.com/articles/s41598-021-83247-4,32,2021,,,,,
52,random forest,phylogenomics,Machine learning based imputation techniques for estimating phylogenetic trees from incomplete distance matrices,https://link.springer.com/article/10.1186/s12864-020-06892-5,31,2020,,,,,
53,random forest,phylogenomics,Harnessing machine learning to guide phylogenetic-tree search algorithms,https://www.nature.com/articles/s41467-021-22073-8,31,2021,,,,,
54,random forest,microbiology,Multi-label random forest model for tuberculosis drug resistance classification and mutation ranking,https://www.frontiersin.org/articles/10.3389/fmicb.2020.00667/full,31,2020,,,,,
55,random forest,neurobiology,MicroRNA predicts cognitive performance in healthy older adults,https://www.sciencedirect.com/science/article/pii/S0197458020302402,30,2020,,,,,
56,random forest,evolution,"Use of vegetation change tracker, spatial analysis, and random forest regression to assess the evolution of plantation stand age in Southeast China",https://link.springer.com/article/10.1007/s13595-020-0924-x/,29,2020,,,,,
57,random forest,biodiversity,Earth observation and biodiversity big data for forest habitat types classification and mapping,https://www.mdpi.com/2072-4292/13/7/1231,29,2021,,,,,
58,random forest,environmental biology,The relationship between niche breadth and range size of beech (Fagus) species worldwide,https://onlinelibrary.wiley.com/doi/abs/10.1111/jbi.14074,29,2021,,,,,
59,random forest,disease classification,"Plant Leaf Disease Recognition Using Random Forest, KNN, SVM and CNN.",https://www.researchgate.net/profile/Bijaya-Hatuwal/publication/351708837_Plant_Leaf_Disease_Recognition_Using_Random_Forest_KNN_SVM_and_CNN/links/60a5d05092851c43da02c7d5/Plant-Leaf-Disease-Recognition-Using-Random-Forest-KNN-SVM-and-CNN.pdf,28,2020,,,,,
60,random forest,bioinformatics,"Random forest of perfect trees: concept, performance, applications and perspectives",https://academic.oup.com/bioinformatics/article-abstract/37/15/2165/6125385,27,2021,,,,,
61,random forest,proteomics,A review of imputation strategies for isobaric labeling-based shotgun proteomics,https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.0c00123,26,2020,,,,,
62,random forest,biology,Neural network and random forest models in protein function prediction,https://ieeexplore.ieee.org/abstract/document/9291483/,26,2020,,,,,
63,random forest,ecology,Cannot see the random forest for the decision trees: selecting predictive models for restoration ecology,https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.12938,25,2019,,,,,
64,random forest,phylogenetics,Prediction of antimalarial drug-decorated nanoparticle delivery systems with random forest models,https://www.mdpi.com/2079-7737/9/8/198,24,2020,,,,,
65,random forest,metabolomics,NMR metabolomics and random forests models to identify potential plasma biomarkers of blood stasis syndrome with coronary heart disease patients,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2019.01109/full,24,2019,,,,,
66,random forest,biogeography,Biogeographical analyses to facilitate targeted conservation of orchid diversity hotspots in Costa Rica,https://onlinelibrary.wiley.com/doi/abs/10.1111/ddi.13062,24,2020,,,,,
67,random forest,proteomics,Enhancing top-down proteomics data analysis by combining deconvolution results through a machine learning strategy,https://pubs.acs.org/doi/abs/10.1021/jasms.0c00035,23,2020,,,,,
68,random forest,phylogenetics,From easy to hopeless—predicting the difficulty of phylogenetic analyses,https://academic.oup.com/mbe/article-abstract/39/12/msac254/6832260,23,2022,,,,,
69,random forest,genomics,Random forest algorithm in imbalance genomics classification,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119785620.ch7,23,2021,,,,,
70,random forest,phylogenomics,Computational approaches in viral ecology,https://www.sciencedirect.com/science/article/pii/S2001037020303081,22,2020,,,,,
71,random forest,paleontology,"Mammalian faunas, ecological indices, and machine-learning regression for the purpose of paleoenvironment reconstruction in the Miocene of South America",https://www.sciencedirect.com/science/article/pii/S0031018218307521,22,2019,,,,,
72,random forest,neurobiology,"Random forest classification of alcohol use disorder using EEG source functional connectivity, neuropsychological functioning, and impulsivity measures",https://www.mdpi.com/2076-328X/10/3/62,21,2020,,,,,
73,random forest,ecology,Using LiDAR and Random Forest to improve deer habitat models in a managed forest landscape,https://www.sciencedirect.com/science/article/pii/S0378112721006708,21,2021,,,,,
74,random forest,biodiversity,Assessing biotic and abiotic effects on biodiversity index using machine learning,https://www.mdpi.com/1999-4907/12/4/461,20,2021,,,,,
75,random forest,medical imaging,Semi-supervised learning in medical images through graph-embedded random forest,https://www.frontiersin.org/articles/10.3389/fninf.2020.601829/full,19,2020,,,,,
76,random forest,medical imaging,MRI-based pseudo CT generation using classification and regression random forest,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10948/1094843/MRI-based-pseudo-CT-generation-using-classification-and-regression-random/10.1117/12.2512560.short,19,2019,,,,,
77,random forest,neurobiology,In silico analysis of long non-coding RNAs in medulloblastoma and its subgroups,https://www.sciencedirect.com/science/article/pii/S0969996120301480,18,2020,,,,,
78,random forest,immunology,Large-scale structure-based prediction of stable peptide binding to class I HLAs using random forests,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2020.01583/full,16,2020,,,,,
79,random forest,microbiology,Discrimination of the geographic origins and varieties of wine grapes using high-throughput sequencing assisted by a random forest model,https://www.sciencedirect.com/science/article/pii/S0023643821004862,15,2021,,,,,
80,random forest,phylogenetics,Phy-PMRFI: phylogeny-aware prediction of metagenomic functions using random forest feature importance,https://ieeexplore.ieee.org/abstract/document/8698330/,15,2019,,,,,
81,random forest,conservation,A spatial downscaling method for remote sensing soil moisture based on random forest considering soil moisture memory and mass conservation,https://www.mdpi.com/2072-4292/14/16/3858,15,2022,,,,,
82,random forest,systems biology,An ensemble learning approach for modeling the systems biology of drug-induced injury,https://link.springer.com/article/10.1186/s13062-020-00288-x,14,2021,,,,,
83,random forest,biodiversity,Mapping natural forest remnants with multi-source and multi-temporal remote sensing data for more informed management of global biodiversity hotspots,https://www.mdpi.com/2072-4292/12/9/1429,14,2020,,,,,
84,random forest,phylogenomics,Species-Wide Phylogenomics of the Staphylococcus aureus Agr Operon Revealed Convergent Evolution of Frameshift Mutations,https://journals.asm.org/doi/abs/10.1128/spectrum.01334-21,13,2022,,,,,
85,random forest,systems biology,Combined mechanistic modeling and machine-learning approaches in systems biology–A systematic literature review,https://www.sciencedirect.com/science/article/pii/S0169260723003462,13,2023,,,,,
86,random forest,ecology,Interpreting random forest analysis of ecological models to move from prediction to explanation,https://www.nature.com/articles/s41598-023-30313-8,13,2023,,,,,
87,random forest,disease classification,Heart disease classification using machine learning models,https://link.springer.com/chapter/10.1007/978-3-030-95630-1_3,13,2021,,,,,
88,random forest,environmental biology,A novel random forest approach to revealing interactions and controls on chlorophyll concentration and bacterial communities during coastal phytoplankton …,https://www.nature.com/articles/s41598-021-98110-9,12,2021,,,,,
89,random forest,environmental biology,Multi-index ecoacoustics analysis for terrestrial soundscapes: a new semi-automated approach using time-series motif discovery and random forest …,https://www.frontiersin.org/articles/10.3389/fevo.2021.738537/full,12,2021,,,,,
90,random forest,immunology,Analysis of signature genes and association with immune cells infiltration in pediatric septic shock,https://www.frontiersin.org/articles/10.3389/fimmu.2022.1056750/full,12,2022,,,,,
91,random forest,disease classification,Hepatitis classification using support vector machines and random forest,https://pdfs.semanticscholar.org/f8cb/047d375d938711f0b2abb2110cf36147f1ab.pdf,12,2021,,,,,
92,random forest,biogeography,Island biogeography theory predicts plant species richness of remnant grassland patches in the agro-pastoral ecotone of northern China,https://www.sciencedirect.com/science/article/pii/S1439179121000839,12,2021,,,,,
93,random forest,evolution,MOE/RF: a novel phishing detection model based on revised multiobjective evolution optimization algorithm and random forest,https://ieeexplore.ieee.org/abstract/document/9744099/,11,2022,,,,,
94,random forest,environmental biology,"Movement patterns of forest elephants (Loxodonta cyclotis Matschie, 1900) in the Odzala‐Kokoua National Park, Republic of Congo",https://onlinelibrary.wiley.com/doi/abs/10.1111/aje.12695,11,2020,,,,,
95,random forest,biogeography,Bacterial biogeography in China and its association to land use and soil organic carbon,https://link.springer.com/article/10.1007/s42832-023-0172-8,11,2023,,,,,
96,random forest,phylogenomics,Phylogenomics and geometric morphometrics define species flocks of snowtrout (Teleostei: Schizothorax) in the Central Himalayas,https://search.proquest.com/openview/6eb7f18e1115e0625ebbbd87f9a02f52/1?pq-origsite=gscholar&cbl=18750&diss=y,10,2019,,,,,
97,random forest,systems biology,When the tree let us see the forest: systems biology and natural variation studies in forest species,https://link.springer.com/chapter/10.1007/124_2018_22,10,2020,,,,,
98,random forest,biodiversity,"Environmental drivers and spatial prediction of forest fires in the Western Ghats biodiversity hotspot, India: An ensemble machine learning approach",https://www.sciencedirect.com/science/article/pii/S0378112723002918,10,2023,,,,,
99,random forest,microbiology,Validating the use of bovine buccal sampling as a proxy for the rumen microbiota by using a time course and random forest classification approach,https://journals.asm.org/doi/abs/10.1128/AEM.00861-20,10,2020,,,,,
100,random forest,immunology,Machine learning algorithms identify clinical subtypes and cancer in anti-Tif1γ+ myositis: a longitudinal study of 87 patients,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.802499/full?ocid=a2hs,10,2022,,,,,
101,random forest,paleontology,"Unsupervised learning of satellite images enhances discovery of late Miocene fossil sites in the Urema Rift, Gorongosa, Mozambique",https://peerj.com/articles/11573/,10,2021,,,,,
102,random forest,environmental biology,"Sustainable geotechnics—Theory, practice, and applications",https://www.mdpi.com/2071-1050/13/9/5286,9,2021,,,,,
103,random forest,immunology,Development of a random forest model to classify sarcoidosis and tuberculosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8290672/,9,2021,,,,,
104,random forest,disease classification,"Analysis of Crop disease detection with SVM, KNN and Random forest classification",https://easychair.org/publications/preprint_download/3TvT,9,2021,,,,,
105,random forest,disease classification,Prediction of diseases using random forest classification algorithm,https://www.academia.edu/download/104270801/4.pdf,9,2020,,,,,
106,random forest,evolution,A novel framework for drug synergy prediction using differential evolution based multinomial random forest,https://pdfs.semanticscholar.org/80c3/8bf6526677b1473374cf25d7aad8a16c1c62.pdf,8,2019,,,,,
107,random forest,immunology,Sensitivity analysis based on the random forest machine learning algorithm identifies candidate genes for regulation of innate and adaptive immune response …,https://www.sciencedirect.com/science/article/pii/S0032579120306064,8,2020,,,,,
108,random forest,proteomics,Machine learning on large-scale proteomics data identifies tissue and cell-type specific proteins,https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.2c00644,8,2023,,,,,
109,random forest,proteomics,Machine learning algorithms based on proteomic data mining accurately predicting the recurrence of hepatitis B‐related hepatocellular carcinoma,https://onlinelibrary.wiley.com/doi/abs/10.1111/jgh.15940,8,2022,,,,,
110,random forest,metabolomics,Using random forest to detect multiple inherited metabolic diseases simultaneously based on GC-MS urinary metabolomics,https://www.sciencedirect.com/science/article/pii/S003991402100641X,8,2021,,,,,
111,random forest,medical imaging,Assessing the role of random forests in medical image segmentation,https://arxiv.org/abs/2103.16492,8,2021,,,,,
112,random forest,phylogenomics,"Between a rock and a dry place: phylogenomics, biogeography, and systematics of ridge-tailed monitors (Squamata: Varanidae: Varanus acanthurus complex)",https://www.sciencedirect.com/science/article/pii/S1055790322001294,7,2022,,,,,
113,random forest,phylogenomics,A community genomics approach to natural hybridization,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2023.0768,7,2023,,,,,
114,random forest,systems biology,An advanced systems biology framework of feature engineering for cold tolerance genes discovery from integrated omics and non-omics data in soybean,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2022.1019709/full,7,2022,,,,,
115,random forest,immunology,Establishment and analysis of a disease risk prediction model for the systemic lupus erythematosus with random forest,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.1025688/full,7,2022,,,,,
116,random forest,immunology,Predicting psoriasis using routine laboratory tests with random forest,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0258768,7,2021,,,,,
117,random forest,phylogenetics,iAIPs: identifying anti-inflammatory peptides using random forest,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.773202,7,2021,,,,,
118,random forest,phylogenomics,"Phylogenomics, biogeography and taxonomic revision of New Guinean pythons (Pythonidae, Leiopython) harvested for international trade",https://www.sciencedirect.com/science/article/pii/S1055790320302323,6,2021,,,,,
119,random forest,phylogenomics,Machine learning approaches identify male body size as the most accurate predictor of species richness,https://link.springer.com/article/10.1186/s12915-020-00835-y,6,2020,,,,,
120,random forest,medical imaging,Deep random forests for small sample size prediction with medical imaging data,https://ieeexplore.ieee.org/abstract/document/9098420/,6,2020,,,,,
121,random forest,phylogenomics,Metagenomic insights into genetic factors driving bacterial niche differentiation between bulk and rhizosphere soils,https://www.sciencedirect.com/science/article/pii/S0048969723028425,5,2023,,,,,
122,random forest,systems biology,Severe COVID-19 patients exhibit elevated levels of autoantibodies targeting cardiolipin and platelet glycoprotein with age: a systems biology approach,https://www.nature.com/articles/s41514-023-00118-0,5,2023,,,,,
123,random forest,biodiversity,"Assessing forest biodiversity: a novel index to consider ecosystem, species, and genetic diversity",https://www.mdpi.com/1999-4907/14/4/709,5,2023,,,,,
124,random forest,microbiology,A random forest classifier for prokaryotes gene prediction,https://ieeexplore.ieee.org/abstract/document/8923750/,5,2019,,,,,
125,random forest,paleontology,Pollen grain classification using geometrical and textural features,https://ieeexplore.ieee.org/abstract/document/9010563/,5,2019,,,,,
126,random forest,conservation,"Random forest modelling of multi‐scale, multi‐species habitat associations within KAZA transfrontier conservation area using spoor data",https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2664.14234,5,2022,,,,,
127,random forest,biogeography,"Alien flora of Nigeria: taxonomy, biogeography, habitats, and ecological impacts",https://link.springer.com/article/10.1007/s10530-023-03140-1,5,2023,,,,,
128,random forest,biogeography,Comammox biogeography subject to anthropogenic interferences along a high-altitude river,https://www.sciencedirect.com/science/article/pii/S0043135422011708,5,2022,,,,,
129,random forest,phylogenomics,"A high‐performance SNP panel developed by machine‐learning approaches for characterizing genetic differences of Southern and Northern Han Chinese, Korean …",https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/elps.202100184,4,2022,,,,,
130,random forest,systems biology,Prediction of chemoresistance trait of cancer cell lines using machine learning algorithms and systems biology analysis,https://link.springer.com/article/10.1186/s40537-021-00477-z,4,2021,,,,,
131,random forest,microbiology,A random forest model based on core genome allelic profiles of MRSA for penicillin plus potassium clavulanate susceptibility prediction,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000610,4,2021,,,,,
132,random forest,neurobiology,MRI-based basal forebrain atrophy and volumetric signatures associated with limbic TDP-43 compared to Alzheimer's disease pathology,https://www.sciencedirect.com/science/article/pii/S0969996123000840,4,2023,,,,,
133,random forest,genomics,Bayesian weighted random forest for classification of high-dimensional genomics data,https://www.sciencedirect.com/science/article/pii/S2307410823001074,4,2023,,,,,
134,random forest,environmental biology,A Study on Predicting TDI (Trophic Diatom Index) in tributaries of Han river basin using Correlation-based Feature Selection technique and Random Forest algorithm,https://koreascience.kr/article/JAKO201932365650175.page,3,2019,,,,,
135,random forest,immunology,"A cuproptosis random forest cox score model-based evaluation of prognosis, mutation characterization, immune infiltration, and drug sensitivity in …",https://www.frontiersin.org/articles/10.3389/fimmu.2023.1146411/full,3,2023,,,,,
136,random forest,proteomics,Predicting missing proteomics values using machine learning: Filling the gap using transcriptomics and other biological features,https://www.sciencedirect.com/science/article/pii/S2001037022001349,3,2022,,,,,
137,random forest,phylogenetics,PhyloMissForest: a random forest framework to construct phylogenetic trees with missing data,https://link.springer.com/article/10.1186/s12864-022-08540-6,3,2022,,,,,
138,random forest,disease classification,Optimizing Random Forest using Genetic Algorithm for Heart Disease Classification,https://www.academia.edu/download/90394473/45877.pdf,3,2022,,,,,
139,random forest,conservation,Identifying global research and conservation priorities for Columbidae: a quantitative approach using random forest models,http://research.send4journal.com/id/eprint/2595/,3,2023,,,,,
140,random forest,evolution,"Coupling Random Forest, Allometric Scaling, and Cellular Automata to Predict the Evolution of LULC under Various Shared Socioeconomic Pathways",https://www.mdpi.com/2072-4292/15/8/2142,2,2023,,,,,
141,random forest,systems biology,AI-based identification of therapeutic agents targeting GPCRs: introducing ligand type classifiers and systems biology,https://pubs.rsc.org/en/content/articlehtml/2023/sc/d3sc02352d,2,2023,,,,,
142,random forest,bioinformatics,t-Tree and t-Forest: Decision Tree and Random Forest Algorithms Including the Relevance Factor with Applications in Bioinformatics,https://ieeexplore.ieee.org/abstract/document/8983065/,2,2019,,,,,
143,random forest,microbiology,Lessons learnt from using the machine learning random forest algorithm to predict virulence in streptococcus pyogenes,https://www.frontiersin.org/articles/10.3389/fcimb.2021.809560/full,2,2021,,,,,
144,random forest,microbiology,Developing a new phylogeny-driven Random Forest Model for functional metagenomics,https://ieeexplore.ieee.org/abstract/document/10144805/,2,2023,,,,,
145,random forest,immunology,Rapid determination of Proteus mirabilis susceptibility to antibiotics using infrared spectroscopy in tandem with random forest,https://onlinelibrary.wiley.com/doi/abs/10.1002/jbio.202200198,2,2023,,,,,
146,random forest,metabolomics,Metabolomics and random forests in patients with complex congenital heart disease,https://www.frontiersin.org/articles/10.3389/fcvm.2022.994068/full,2,2022,,,,,
147,random forest,ecology,Building a macrosystems ecology framework to identify links between environmental and human health: A random forest modelling approach,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1002/pan3.10427,2,2023,,,,,
148,random forest,paleontology,Evaluating statistical models for establishing morphometric taxonomic identifications and a new approach using Random Forest,https://www.sciencedirect.com/science/article/pii/S0305440322000681,2,2022,,,,,
149,random forest,paleontology,Trait-based paleontological niche prediction recovers extinct ecological breadth of the earliest specialized ant predators,https://www.journals.uchicago.edu/doi/full/10.1086/726739,2,2023,,,,,
150,random forest,paleontology,Hide and seek shark teeth in Random Forests: machine learning applied to Scyliorhinus canicula populations,https://peerj.com/articles/13575/,2,2022,,,,,
151,random forest,paleontology,"An Integrated Deep Learning Framework for Classification of Mineral Thin Sections and Other Geo-Data, a Tutorial",https://www.mdpi.com/2075-163X/13/5/584,2,2023,,,,,
152,random forest,genomics,The Complete Genome of Nocardia seriolae MH196537 and Intra-Species Level as Analyzed by Comparative Genomics Based on Random Forest Algorithm,https://link.springer.com/article/10.1007/s00284-021-02490-0,2,2021,,,,,
153,random forest,conservation,Conservation planning implications of modeling seagrass habitats with sparse absence data: a balanced random forest approach,https://link.springer.com/article/10.1007/s11852-022-00868-1,2,2022,,,,,
154,random forest,biogeography,The global biogeography of tree leaf form and habit,https://www.nature.com/articles/s41477-023-01543-5,2,2023,,,,,
155,random forest,evolution,Provenance and tectonic evolution of bauxite deposits in the Tethys: Perspective from random forest and logistic regression analyses,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2022GC010745,1,2023,,,,,
156,random forest,evolution,Random Forest Assisted Differential Evolution for Multi-server Congested p-median Problem,https://ieeexplore.ieee.org/abstract/document/10356471/,1,2023,,,,,
