,Model,Bio_term,Title,Link,Citations,Year,Explicit use of the model,Model applied to biological research,Outcome and implications based on model,Keep,Notes
11,linear regression,phylogenomics,Phylogenomics using low‐depth whole genome sequencing: A case study with the olive tribe,https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.13016,58,2019,no,yes,no,no,
12,linear regression,disease classification,Thyroid disease classification using machine learning algorithms,https://iopscience.iop.org/article/10.1088/1742-6596/1963/1/012140/meta,56,2021,no,yes,no,no,
13,linear regression,medical imaging,"… and classification of microcalcification from digital mammograms with firefly algorithm, extreme learning machine and non‐linear regression models: A comparison",https://onlinelibrary.wiley.com/doi/abs/10.1002/ima.22364,53,2020,no,yes,no,no,not LR
14,linear regression,evolution,DFT Study on the Hydrogen Evolution Reaction for Different Facets of Co2P,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201800601,51,2019,,no,,no,chemistry
15,linear regression,proteomics,Urine proteomics for prediction of disease progression in patients with IgA nephropathy,https://academic.oup.com/ndt/article-abstract/37/1/42/6033100,50,2022,yes,yes,no,no,
16,linear regression,phylogenomics,To what extent current limits of phylogenomics can be overcome?,https://hal.science/hal-02535366/,49,2020,no,yes,no,no,review and book chapter
17,linear regression,ecology,Assessing the suitable cultivation areas for Scutellaria baicalensis in China using the Maxent model and multiple linear regression,https://www.sciencedirect.com/science/article/pii/S030519781930328X,47,2020,yes,yes,yes ,yes,
18,linear regression,disease classification,Multiclass diagnosis of stages of Alzheimer's disease using linear discriminant analysis scoring for multimodal data,https://www.sciencedirect.com/science/article/pii/S0010482521002729,41,2021,yes,yes,no,no,LR only for small pre-analysis
19,linear regression,genetics,Validation of single‐step GBLUP genomic predictions from threshold models using the linear regression method: An application in chicken mortality,https://onlinelibrary.wiley.com/doi/abs/10.1111/jbg.12507,40,2021,yes,yes,yes ,yes,
20,linear regression,disease classification,A comprehensive search for expert classification methods in disease diagnosis and prediction,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12343,39,2019,no,yes,no,no,
21,linear regression,phylogenomics,Advancing mite phylogenomics: designing ultraconserved elements for Acari phylogeny,https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.12962,39,2019,yes,yes,no,no,
22,linear regression,metabolomics,PLS2 in Metabolomics,https://www.mdpi.com/2218-1989/9/3/51,32,2019,yes,yes,yes ,yes,in MDPI which is a little iffy
23,linear regression,immunology,Two decades of excellent transplant survival for chronic granulomatous disease: a supraregional immunology transplant center report,https://ashpublications.org/blood/article-abstract/133/23/2546/273828,32,2019,no,,,no,
24,linear regression,neurobiology,Predicting long-term cognitive dysfunction in survivors of critical illness with plasma inflammatory markers: a retrospective cohort study,https://link.springer.com/article/10.1007/s12035-018-1166-x,31,2019,yes,yes,yes ,no,not really focus
25,linear regression,genetics,"Prediction of skin color, tanning and freckling from DNA in Polish population: linear regression, random forest and neural network approaches",https://link.springer.com/article/10.1007/s00439-019-02012-w,29,2019,yes,yes,yes,no,compared w/ random forest and neural nets to predict human pigmentation from DNA in Polish population
26,linear regression,microbiology,Limited sampling strategies using linear regression and the Bayesian approach for therapeutic drug monitoring of moxifloxacin in tuberculosis patients,https://journals.asm.org/doi/abs/10.1128/aac.00384-19,27,2019,yes,yes,yes,no,likely too technical? 
27,linear regression,biogeography,The biogeography of ecoregions: Descriptive power across regions and taxa,https://onlinelibrary.wiley.com/doi/abs/10.1111/JBI.13871,26,2020,yes,yes,yes ,yes,
28,linear regression,medical imaging,Synthetic database of aortic morphometry and hemodynamics: overcoming medical imaging data availability,https://ieeexplore.ieee.org/abstract/document/9349107/,25,2021,no,yes,,no,
29,linear regression,conservation,Estimation of soil water retention in conservation agriculture using published and new pedotransfer functions,https://www.sciencedirect.com/science/article/pii/S0167198721000374,24,2021,yes,yes,yes,no,linear regression contrasted w/ ML random forest and regression trees
30,linear regression,proteomics,Dealing with missing values in proteomics data,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/pmic.202200092,23,2022,no,yes,no,no,guide for choosing imputation method
31,linear regression,proteomics,Evaluation of linear models and missing value imputation for the analysis of peptide-centric proteomics,https://link.springer.com/article/10.1186/s12859-019-2619-6,21,2019,yes,yes,yes ,yes,
32,linear regression,phylogenetics,Comparative phylogenetics of repetitive elements in a diverse order of flowering plants (Brassicales),https://academic.oup.com/g3journal/article-pdf/doi/10.1093/g3journal/jkab140/40518696/jkab140.pdf,19,2021,yes,yes,no,no,small part of pipeline
33,linear regression,metabolomics,Metabolomics: a search for biomarkers of visceral fat and liver fat content,https://link.springer.com/article/10.1007/s11306-019-1599-x,18,2019,yes,yes,yes,yes,predict visceral adipose tissue (VAT) and hepatic triglyceride content (HTGC) from plasma metabolites
34,linear regression,medical imaging,"Trends and statistics of artificial intelligence and radiomics research in Radiology, Nuclear Medicine, and Medical Imaging: bibliometric analysis",https://link.springer.com/article/10.1007/s00330-023-09772-0,17,2023,yes,no,no,no,meta-research
35,linear regression,phylogenomics,Plastid phylogenomics of tribe Perseeae (Lauraceae) yields insights into the evolution of East Asian subtropical evergreen broad-leaved forests,https://link.springer.com/article/10.1186/s12870-021-03413-8,17,2022,yes,yes,no,no,
36,linear regression,metabolomics,A new pipeline for the normalization and pooling of metabolomics data,https://www.mdpi.com/2218-1989/11/9/631,16,2021,yes,yes,yes ,no,used in combination with PCA for  PC-PR2
37,linear regression,phylogenomics,Relative efficiencies of simple and complex substitution models in estimating divergence times in phylogenomics,https://academic.oup.com/mbe/article-abstract/37/6/1819/5771370,16,2020,no,yes,,no,
38,linear regression,phylogenetics,Plastome‐based phylogeny improves community phylogenetics of subtropical forests in China,https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.13462,15,2022,no,yes,,no,
39,linear regression,immunology,Insights into dolphins' immunology: immuno-phenotypic study on Mediterranean and Atlantic stranded cetaceans,https://www.frontiersin.org/articles/10.3389/fimmu.2019.00888/full,14,2019,yes,yes,yes ,yes,negative relationship between quantity of organochlorines contaminants and number of T lymphocytes in blubber tissue in stranded cetaceans
40,linear regression,disease classification,Performance evaluation of different machine learning classification algorithms for disease diagnosis,https://www.igi-global.com/article/performance-evaluation-of-different-machine-learning-classification-algorithms-for-disease-diagnosis/278822,13,2021,no,,,no,
41,linear regression,immunology,Associations between autoimmunity and depression: serum IL-6 and IL-17 have directly impact on the HAMD scores in patients with first-episode depressive …,https://www.hindawi.com/journals/jir/2022/6724881/,13,2022,yes,yes,yes ,,decrease of inflammation levels in case-controlled study of patients with first episode depression after SSRI treatment
42,linear regression,disease classification,Toward Alzheimer's disease classification through machine learning,https://link.springer.com/article/10.1007/s00500-020-05292-x,12,2021,yes,yes,yes ,no,SVM is focus; combined(?) with SVM to predict features of Alzheimer’s vs. cognitive decline w/ aging
43,linear regression,bioinformatics,Machine learning in bioinformatics,https://www.sciencedirect.com/science/article/pii/B9780323897754000201,12,2022,no,yes,no,no,review
44,linear regression,medical imaging,Machine learning techniques for medical image processing,https://ieeexplore.ieee.org/abstract/document/9657673/,11,2021,yes,yes,yes ,no,compared w/ multiple other ML techniques in survey of applications to process medical images
45,linear regression,developmental biology,"Developmental Biology of Forensically Important Beetle, Necrophila (Calosilpha) brunnicollis (Coleoptera: Silphidae)",https://academic.oup.com/jme/article-abstract/58/1/64/5896021,11,2021,yes,yes,yes ,yes,evaluate developmental time by temperature in carrion beetle
46,linear regression,disease classification,Comparison of heart disease classification with logistic regression algorithm and random forest algorithm,https://pubs.aip.org/aip/acp/article-abstract/2296/1/020021/724054,10,2020,no,yes,,no,
47,linear regression,disease classification,Deep learning-based Parkinson disease classification using PET scan imaging data,https://ieeexplore.ieee.org/abstract/document/9666251/,10,2021,no,yes,,no,
48,linear regression,conservation,"Behaving or not? Explaining energy conservation via identity, values, and awareness in US suburban homes",https://www.sciencedirect.com/science/article/pii/S2214629622003085,10,2022,yes,no,,no,
49,linear regression,phylogenomics,Phylogenomics of globally spread clonal groups 14 and 15 of Klebsiella pneumoniae,https://journals.asm.org/doi/abs/10.1128/spectrum.03395-22,9,2023,no,yes,,no,
50,linear regression,microbiology,"Linear regression equations to predict β-lactam, macrolide, lincosamide, and fluoroquinolone MICs from molecular antimicrobial resistance determinants in …",https://journals.asm.org/doi/abs/10.1128/aac.01370-21,8,2022,yes,yes,"predict ""contributions of molecular antimicrobial resistance determinants to antimicrobial MICs"" for pneumonia",no,
51,linear regression,metabolomics,Data processing optimization in untargeted metabolomics of urine using voigt lineshape model non-linear regression analysis,https://www.mdpi.com/2218-1989/11/5/285,7,2021,yes,yes,?,no,
52,linear regression,disease classification,"Innovative classification, regression model for predicting various diseases",https://www.sciencedirect.com/science/article/pii/B9780128193143000124,7,2021,,,,no,sort of review
53,linear regression,disease classification,Parameterizing neural networks for disease classification,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12465,6,2020,yes,yes,used to preprocess data prior to neural network to classify between gout and leukemia,,
54,linear regression,phylogenomics,Multiple outgroups can cause random rooting in phylogenomics,https://www.sciencedirect.com/science/article/pii/S1055790323001069,6,2023,,,,,
55,linear regression,phylogenomics,Metagenomic clustering reveals microbial contamination as an essential consideration in ultraconserved element design for phylogenomics with insect museum …,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.8625,6,2022,,,,,
56,linear regression,phylogenomics,Identifying and addressing methodological incongruence in phylogenomics: A review,https://onlinelibrary.wiley.com/doi/abs/10.1111/eva.13565,6,2023,,,,,
57,linear regression,neurobiology,The neurobiology of childhood trauma—aldosterone and blood pressure changes in a community sample,https://www.tandfonline.com/doi/abs/10.1080/15622975.2021.2018724,5,2022,,,,,
58,linear regression,evolution,"Atomic structure evolution and linear regression fitting models for pre-breakdown electric field strength of FCC, BCC and HCP metal nano-emitters under high electric …",https://iopscience.iop.org/article/10.1088/1361-6463/acc7b2/meta,5,2023,,,,,
59,linear regression,biogeography,Revising the global biogeography of annual and perennial plants,https://www.nature.com/articles/s41586-023-06644-x,5,2023,,,,,
60,linear regression,immunology,Systematic analysis between inflammation-related index and sex hormones in American adults: cross-sectional research based NHANES 2013-2016,https://www.frontiersin.org/articles/10.3389/fimmu.2023.1175764/full,5,2023,,,,,
61,linear regression,microbiology,Realizing the value in “non-standard” parts of the qPCR standard curve by integrating fundamentals of quantitative microbiology,https://www.frontiersin.org/articles/10.3389/fmicb.2023.1048661/full,4,2023,,,,,
62,linear regression,marine biology,Project-based learning using a laboratory approach on learning outcomes and critical thinking in marine biology,https://ejournal.umm.ac.id/index.php/jpbi/article/view/24551,4,2023,,,,,
63,linear regression,disease ecology,"Demography, Spatial Ecology, and Disease Ecology of the Virginia Opossum (Didelphis virginiana) in the Southeast United States",https://search.proquest.com/openview/e1ed5a5db5cd10c570ab9f314a164504/1?pq-origsite=gscholar&cbl=44156,4,2020,,,,,
64,linear regression,developmental biology,Developmental biology and seasonal phenology of Aacanthocnema dobsoni (Hemiptera: Triozidae) and the influence of climate‐mediated changes in body size on …,https://onlinelibrary.wiley.com/doi/abs/10.1111/aen.12518,3,2021,,,,,
65,linear regression,neurobiology,Prediabetic HbA1c and Cortical Atrophy: Underlying Neurobiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10698225/,3,2023,,,,,
66,linear regression,neurobiology,Virtual histology of cortical thickness reveals shared neurobiology across six psychiatric disorders,https://www.biologicalpsychiatryjournal.com/article/S0006-3223(20)31333-0/abstract,3,2020,,,,,
67,linear regression,conservation,A multiple Linear Regression Model to predict indoor temperature trend in historic buildings for book conservation: the case study of “Sala del Dottorato” in Palazzo …,https://iopscience.iop.org/article/10.1088/1742-6596/2069/1/012142/meta,3,2021,,,,,
68,linear regression,marine biology,"Reproductive biology of mangrove clams Geloina expansa (Mousson, 1849) from mangrove at Kendari Bay, Southeast Sulawesi, Indonesia",https://www.tandfonline.com/doi/abs/10.1080/17451000.2023.2185639,3,2023,,,,,
69,linear regression,proteomics,"Proteomics, dietary intake, and changes in cardiometabolic health within a behavioral weight‐loss intervention: A pilot study",https://onlinelibrary.wiley.com/doi/abs/10.1002/oby.23574,3,2022,,,,,
70,linear regression,evolution,Effect of Polytomy on the Parameter Estimation and Goodness of Fit of Phylogenetic Linear Regression Models for Trait Evolution,https://www.mdpi.com/1424-2818/14/11/942,2,2022,,,,,
71,linear regression,phylogenomics,Repeat-based phylogenomics shed light on unclear relationships in the monocentric genus Juncus L.(Juncaceae),https://www.sciencedirect.com/science/article/pii/S1055790323002300,2,2023,,,,,
72,linear regression,phylogenetics,Robust phylogenetic regression,https://academic.oup.com/sysbio/advance-article-abstract/doi/10.1093/sysbio/syad070/7456117,2,2023,,,,,
73,linear regression,proteomics,Proteomics-Based Regression Model for Assessing the Development of Chronic Lymphocytic Leukemia,https://www.mdpi.com/2227-7382/9/1/3,2,2021,,,,,
74,linear regression,disease ecology,"Addressing a Knowledge Gap in Spilogale Disease Ecology: Skunk Cranial Worm, Skrjabingylus chitwoodorum, in Spilogale putorius interrupta",https://bioone.org/journals/southeastern-naturalist/volume-20/issue-sp11/058.020.0sp1114/Addressing-a-Knowledge-Gap-in-Spilogale-Disease-Ecology--Skunk/10.1656/058.020.0sp1114.short,2,2021,,,,,
75,linear regression,disease ecology,Considering humans as habitat reveals evidence of successional disease ecology among human pathogens,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001770,2,2022,,,,,
76,linear regression,disease ecology,Spatial and disease ecology of the Plains Spotted Skunk,https://search.proquest.com/openview/b2b0e15fb77c16e029ba301e429b26b0/1?pq-origsite=gscholar&cbl=18750&diss=y,2,2019,,,,,
77,linear regression,metabolomics,"Evaluation of robustness in untargeted metabolomics: Application of multivariate analysis, linear regression and hierarchical modeling",https://www.sciencedirect.com/science/article/pii/S2772391722000068,1,2022,,,,,
78,linear regression,evolution,Linear regression strategy for differential evolution,https://dl.acm.org/doi/abs/10.1145/3449726.3463287,1,2021,,,,,
79,linear regression,genetics,The use of weighted multiple linear regression to estimate QTL × QTL × QTL interaction effects of winter wheat (Triticum aestivum L.) doubled-haploid …,https://link.springer.com/article/10.1007/s13353-023-00795-3,1,2023,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

